회사명,거래소코드,회계년도,총자본증가율(IFRS),자기자본증가율(IFRS),매출액증가율(IFRS),순이익증가율(IFRS),매출액순이익률(IFRS),총자본순이익률(IFRS),자기자본순이익률(IFRS),자본금순이익률(IFRS),유보율(IFRS),사내유보율(IFRS),자기자본배당률(IFRS),배당성향(IFRS),자기자본구성비율(IFRS),타인자본구성비율(IFRS),부채비율(IFRS),총자본회전률(IFRS),자기자본회전률(IFRS),자본금회전률(IFRS),타인자본회전률(IFRS),PER(최저)(IFRS),PBR(최저)(IFRS),PCR(최저)(IFRS),PSR(최저)(IFRS)
(주)JB금융지주,175330,2018/12,19.41,27.79,9.72,5.69,63.87,2.99,3.8,7.31,94.79,0,1.84,54.31,81.12,18.88,23.27,0.05,0.06,0.11,0.22,13.01,0.45,13.25,8.31
(주)JB금융지주,175330,2019/12,7.05,4,14.76,24.68,69.39,3.31,4.14,8.15,102.51,0,2.95,72.6,78.81,21.19,26.88,0.05,0.06,0.12,0.24,12.78,0.54,0,8.87
(주)JB금융지주,175330,2020/12,12.29,3.36,57.09,78.97,79.05,5.39,7.14,14.59,109.27,0,3.55,50.57,72.55,27.45,37.84,0.07,0.09,0.18,0.28,4.47,0.33,2.61,3.53
(주)JB금융지주,175330,2021/12,-0.69,1.86,-5.56,-10.24,75.13,4.59,6.25,13.1,113.13,0,5.59,90.24,74.41,25.59,34.39,0.06,0.08,0.17,0.23,7.88,0.52,5.17,5.92
(주)KB금융지주,105560,2016/12,16.76,4.35,121.01,142.43,83.38,2.72,3.17,29.34,844.29,0,2.62,84.38,81.39,18.61,22.86,0.03,0.04,0.35,0.23,18.07,0.58,17.9,15.07
(주)KB금융지주,105560,2017/12,7.41,0.55,2.72,-6.22,76.12,2.28,2.9,26.47,851.06,0,4.01,138.54,76.19,23.81,31.25,0.03,0.04,0.35,0.14,31.73,0.96,30.8,24.15
(주)KB금융지주,105560,2018/12,2.07,-0.29,53.39,67.3,83.02,3.65,4.85,44.29,858.59,0,3.98,82.05,74.43,25.57,34.35,0.04,0.06,0.53,0.18,19.96,1.01,19.99,16.57
(주)KB금융지주,105560,2019/12,-1.08,0.58,-14.59,-19.43,78.31,2.93,3.9,35.68,871.9,0,4.49,115.43,75.68,24.32,32.14,0.04,0.05,0.46,0.15,21.16,0.86,21.17,16.57
(주)KB금융지주,105560,2020/12,10.9,9.4,67.75,84.91,86.32,5.16,6.87,65.98,958.18,0,3.29,50,74.66,25.34,33.94,0.06,0.08,0.76,0.24,7.79,0.53,7.74,6.73
(주)KB금융지주,105560,2021/12,2.71,7.28,3.53,4.31,86.97,5.05,6.62,68.83,1031.24,0,3.79,59.3,77.98,22.02,28.24,0.06,0.08,0.79,0.25,11.63,0.77,12.43,10.12
(주)MH에탄올,023150,2016/12,-8.47,9.88,-2.96,5.04,16.64,10.79,13.47,176.97,1307.46,0,3.42,26.58,87.83,12.17,13.86,0.65,0.81,10.64,3.27,5.99,0.8,3.98,1
(주)MH에탄올,023150,2017/12,49.17,2.28,-1.28,-27.43,12.23,6.58,9.23,128.42,1384.36,0,3.73,40.91,60.22,39.78,66.06,0.54,0.75,10.5,1.87,7.36,0.7,4.04,0.9
(주)MH에탄올,023150,2018/12,2.07,5.83,-2.75,11.02,13.96,6.04,9.84,142.56,1490.09,0,3.43,35.83,62.44,37.56,60.15,0.43,0.71,10.21,1.12,5.07,0.51,4.98,0.71
(주)MH에탄올,023150,2019/12,-7.84,-13.14,0.1,0,-10.65,-4.75,-7.82,-108.88,1321.96,0,3.83,0,58.85,41.15,69.91,0.45,0.73,10.22,1.14,0,0.71,6.25,0.85
(주)MH에탄올,023150,2020/12,-3.51,-3.14,9.12,0,2.26,1.16,1.98,25.16,1281.31,100,3.95,196.99,59.08,40.92,69.27,0.52,0.88,11.16,1.26,37.65,0.79,5.7,0.85
(주)MH에탄올,023150,2021/12,1.26,0.78,-10.5,327.07,10.76,5.03,8.54,107.44,1291.06,100,3.92,46.13,58.8,41.2,70.07,0.47,0.79,9.98,1.14,11.35,1.02,27.62,1.22
(주)SH에너지화학,002360,2016/12,7.81,13.6,0.23,39.04,8.2,14.83,18.13,31.53,86.29,100,5.92,34.71,83.84,16.16,19.28,1.81,2.21,3.85,9.93,7.21,1.32,10.94,0.59
(주)SH에너지화학,002360,2017/12,0.25,2.56,-13.86,-49.33,4.82,7.23,8.53,15.98,91.02,100,4.51,53.55,85.77,14.23,16.59,1.5,1.77,3.31,9.87,16.66,1.48,9.11,0.8
(주)SH에너지화학,002360,2018/12,-1.92,-1.56,-2.12,-68.93,1.53,2.27,2.64,4.96,88.19,100,2.45,92.13,86.08,13.92,16.17,1.48,1.72,3.24,10.52,32.62,0.9,21.06,0.5
(주)SH에너지화학,002360,2019/12,0.19,-6.42,-23.56,0,-2.28,-2.6,-3.13,-5.65,76.78,0,0,0,80.4,19.6,24.38,1.14,1.37,2.48,6.81,0,1.02,6.75,0.71
(주)SH에너지화학,002360,2020/12,-3.76,-7.77,-33.88,0,-7.9,-6.07,-7.71,-12.95,64.28,0,0,0,77.05,22.95,29.79,0.77,0.98,1.64,3.62,0,0.62,14.66,0.61
(주)SH에너지화학,002360,2021/12,1.59,1.59,52.47,0,0.54,0.64,0.83,1.35,66.92,100,1.2,145.6,77.05,22.95,29.78,1.19,1.54,2.5,5.17,122.6,1.03,0,0.66
(주)SIMPAC,009160,2016/12,-0.84,4.03,1.26,-15.45,7.62,4.47,7.32,113.08,1506.98,100,1.16,16.12,62.52,37.48,59.96,0.59,0.96,14.84,1.51,7.61,0.56,4.1,0.58
(주)SIMPAC,009160,2017/12,-6.35,-2.26,-5.88,-56.62,3.51,2.01,3.15,49.06,1526.53,100,0.89,27.89,65.24,34.76,53.28,0.57,0.9,13.97,1.58,16.19,0.52,0,0.57
(주)SIMPAC,009160,2018/12,83.19,83.71,32.35,774.43,23.2,12.84,19.65,264.01,1204.59,100,0.88,5.82,65.43,34.57,52.83,0.55,0.85,11.38,1.6,0.93,0.14,1.6,0.22
(주)SIMPAC,009160,2019/12,-3.13,1.97,45.79,-81.55,2.94,1.86,2.77,35.17,1229.34,100,0.87,31.57,68.87,31.13,45.2,0.63,0.94,11.98,1.93,13.08,0.36,3.33,0.38
(주)SIMPAC,009160,2020/12,7.87,3.58,-30.58,128.57,9.67,4.16,6.16,80.4,1298.64,100,0.79,13.11,66.13,33.87,51.22,0.43,0.64,8.32,1.32,4.14,0.25,251.07,0.4
(주)SIMPAC,009160,2021/12,21.34,13.1,80.4,148.33,13.31,8.99,14.12,199.65,1487.74,100,2.27,17.11,61.64,38.36,62.24,0.68,1.06,15,1.86,2.45,0.34,3.49,0.33
(주)SNT에너지,100840,2016/12,10.07,-0.69,-2.31,-93.86,0.65,0.5,0.72,46.85,6387.29,0,0,0,66.03,33.97,51.45,0.77,1.1,71.73,2.5,71.71,0.52,3.4,0.47
(주)SNT에너지,100840,2017/12,-13.73,1.75,-27.55,176.05,2.49,1.41,1.98,129.34,6500.71,0,0.05,0,77.87,22.13,28.42,0.57,0.79,51.97,1.99,20.87,0.41,0,0.52
(주)SNT에너지,100840,2018/12,-6.42,-1.09,-24.21,-60.16,1.31,0.63,0.78,50.77,6366.74,0,0.05,0,82.31,17.69,21.5,0.48,0.6,38.8,2.4,41.57,0.33,5.26,0.54
(주)SNT에너지,100840,2019/12,17.94,6.17,45.38,698.64,7.19,4.76,6.12,393.92,6566.81,100,2.34,39.47,74.1,25.9,34.96,0.66,0.85,54.8,2.99,5.41,0.33,0,0.39
(주)SNT에너지,100840,2020/12,0.2,-3.66,13.4,-35.47,4.09,2.84,3.9,250.63,6592.12,0,1.1,27.69,71.24,28.76,40.37,0.69,0.95,61.28,2.54,8.18,0.33,1.16,0.33
(주)SNT에너지,100840,2021/12,-2.99,3.77,-28.06,37.53,7.82,3.96,5.37,344.7,6819.22,100,1.07,20.37,76.21,23.79,31.22,0.51,0.69,44.08,1.92,8.76,0.47,4.05,0.69
(주)SNT홀딩스,036530,2016/12,-0.83,1.13,15.85,-75.07,70.51,1.61,1.63,86.54,5165.66,0,1.3,79.84,99.93,0.07,0.07,0.02,0.02,1.23,2.19,32.7,0.54,297.22,23.06
(주)SNT홀딩스,036530,2017/12,-0.37,-0.36,-24.45,-39.73,56.25,0.98,0.98,51.42,5146.6,0,0.8,75.7,99.93,0.07,0.07,0.02,0.02,0.91,24,54.44,0.54,36.73,30.62
(주)SNT홀딩스,036530,2018/12,-0.62,-0.6,-1.7,49.03,85.27,1.47,1.47,75.52,5044.01,0,1.49,101.44,99.95,0.05,0.05,0.02,0.02,0.89,27.47,28.32,0.42,26.31,24.15
(주)SNT홀딩스,036530,2019/12,-1.33,-1.33,51.07,48.67,83.92,2.2,2.2,110.68,5077.97,0,1.82,81.97,99.94,0.06,0.06,0.03,0.03,1.32,47.38,20.64,0.47,18.89,17.32
(주)SNT홀딩스,036530,2020/12,1.63,1.62,129.76,148.28,90.68,5.46,5.46,274.8,5218.56,0,1.39,25.73,99.93,0.07,0.07,0.06,0.06,3.03,99.16,7.14,0.39,7.15,6.47
(주)SNT홀딩스,036530,2021/12,0.41,0.32,-25.34,-27.93,87.53,3.89,3.9,198.04,5294.22,0,1.36,34.97,99.84,0.16,0.16,0.04,0.04,2.26,39.22,14.19,0.56,14.01,12.42
(주)STX,011810,2016/12,-40.65,0,7.59,0,-31.12,-54.14,0,-471.92,0,0,0,0,0,152.4,0,1.74,0,15.16,1.51,0,0,1.09,0.02
(주)STX,011810,2017/12,-17.09,0,8.87,0,21.07,58.56,0,404.29,-6.01,0,0,0,8.59,91.41,1063.93,2.78,0,19.19,2.23,0.79,6.26,2.84,0.17
(주)STX,011810,2018/12,-14.15,39.15,-16.65,-98.51,0.38,1.04,9.4,10.34,26.65,0,0,0,13.93,86.07,618.11,2.75,24.88,27.38,3.09,40.18,3.36,0,0.15
(주)STX,011810,2019/12,3.58,-18.64,-6.92,0,-3,-8.17,-65.84,-75.31,3.14,0,0,0,10.94,89.06,814.2,2.72,21.94,25.1,3.11,0,2.79,10.84,0.11
(주)STX,011810,2020/12,-21.58,-48.92,-36.31,0,-2.1,-4.02,-43.36,-33.62,-47.07,0,0,0,7.13,92.87,1303.36,1.91,20.62,15.99,2.11,0,3.34,1.22,0.1
(주)STX,011810,2021/12,7.25,132.36,-17.84,0,-2.49,-4.29,-37.55,-26.7,-15.69,0,0,0,15.44,84.56,547.76,1.72,15.08,10.72,1.95,0,1.51,0,0.14
(주)TCC스틸,002710,2016/12,-24.13,20.99,-9.38,0,4.88,5.32,18.29,69.23,338.92,100,0,0,36.92,63.08,170.86,1.09,3.75,14.2,1.54,2.67,0.46,0,0.13
(주)TCC스틸,002710,2017/12,-0.79,-3.24,5.21,0,-0.7,-0.93,-2.56,-10.42,325.5,100,0,0,36.01,63.99,177.7,1.34,3.66,14.94,2.1,0,0.47,0,0.12
(주)TCC스틸,002710,2018/12,7.73,9.73,5.26,0,2.15,2.93,8.05,33.86,358.42,100,1.74,22.56,36.68,63.32,172.63,1.36,3.74,15.72,2.14,4.81,0.39,2.61,0.1
(주)TCC스틸,002710,2019/12,0.79,-0.86,-3.41,-73.61,0.59,0.74,2.04,8.93,354.62,100,0.66,32.07,36.08,63.92,177.19,1.26,3.47,15.19,1.98,21.21,0.45,0,0.12
(주)TCC스틸,002710,2020/12,-3.35,0.77,-4.69,0,-0.98,-1.2,-3.24,-14.01,332.56,100,0.86,0,37.61,62.39,165.86,1.22,3.3,14.27,1.93,0,0.25,0,0.07
(주)TCC스틸,002710,2021/12,18.3,29.87,26.1,0,7.1,10.15,25.64,124.52,448.22,0,2.73,12.02,41.29,58.71,142.17,1.43,3.61,17.54,2.37,2.92,0.7,13.06,0.21
(주)강원랜드,035250,2016/12,7.81,8.52,3.9,5.7,26.85,11.87,14.56,425.35,3103.51,0,6.17,44.11,81.81,18.19,22.23,0.44,0.54,15.84,2.4,16.62,2.48,12.59,4.46
(주)강원랜드,035250,2017/12,5.19,7.63,-5.41,-3.93,27.27,10.72,12.94,408.61,3335.4,0,5.73,45.92,83.7,16.3,19.47,0.39,0.47,14.98,2.28,15.86,2.1,14.88,4.32
(주)강원랜드,035250,2018/12,1.13,2.45,-10.41,-31.98,20.7,7.07,8.39,277.95,3415.48,0,5.09,61.37,84.79,15.21,17.93,0.34,0.41,13.42,2.17,18.2,1.59,14.79,3.77
(주)강원랜드,035250,2019/12,4.89,3.68,5.68,12.88,22.11,7.75,9.19,313.74,3538.86,100,4.91,54.37,83.82,16.18,19.31,0.35,0.42,14.19,2.23,17.63,1.67,14.46,3.9
(주)강원랜드,035250,2020/12,-18.04,-12.74,-68.54,0,-58.38,-6.91,-8.01,-260.6,3096.04,0,0,0,89.24,10.76,12.06,0.12,0.14,4.46,0.86,0,1.06,0,7.17
(주)강원랜드,035250,2021/12,5,0.14,64.9,0,-1.51,-0.32,-0.37,-11.13,3100.28,0,0,0,85.11,14.89,17.49,0.21,0.24,7.36,1.64,0,1.43,21.53,5.88
(주)갤럭시아에스엠,011420,2016/12,-16.92,-11.48,-15.1,0,-3.42,-2.54,-3.27,-11.34,225.57,0,0,0,80.33,19.67,24.48,0.74,0.96,3.32,3.32,0,1.03,0,0.95
(주)갤럭시아에스엠,011420,2017/12,-12.3,-9.71,-19.16,0,-15.98,-11.26,-13.83,-42.83,193.97,0,0,0,82.71,17.29,20.9,0.7,0.87,2.68,3.8,0,1.43,0,1.48
(주)갤럭시아에스엠,011420,2018/12,-31.91,-33.82,-40.33,0,-71.17,-38.1,-46.6,-113.82,94.54,0,0,0,80.38,19.62,24.41,0.54,0.65,1.6,2.94,0,1.31,0,1.51
(주)갤럭시아에스엠,011420,2019/12,-15.29,-18.65,30.42,0,-4.79,-4.47,-5.66,-9.98,58.25,0,0,0,77.19,22.81,29.56,0.93,1.18,2.09,4.43,0,1.92,47.75,1.37
(주)갤럭시아에스엠,011420,2020/12,1.11,-4.95,-32,0,5.04,3.46,4.63,7.14,50.42,0,0,0,72.56,27.44,37.82,0.69,0.92,1.42,2.74,19.4,0.98,6.65,0.98
(주)갤럭시아에스엠,011420,2021/12,43.24,59.51,47.9,274.19,12.74,10.6,13.69,26.73,139.93,0,0,0,80.81,19.19,23.75,0.83,1.07,2.1,3.68,10.44,1.21,23.84,1.33
(주)경농,002100,2016/12,0.57,2.12,4.07,-11.06,4.03,2.17,3.3,53.21,1581.43,0,2.68,82.03,66.28,33.72,50.87,0.54,0.82,13.2,1.57,17.85,0.61,11.87,0.72
(주)경농,002100,2017/12,0.88,3.53,-0.02,99.95,8.06,4.31,6.42,106.39,1638.93,0,2.88,45.67,68.02,31.98,47.01,0.53,0.8,13.2,1.63,10.23,0.68,8.2,0.82
(주)경농,002100,2018/12,5.97,2.25,2.12,-16.69,6.57,3.47,5.2,88.64,1676.8,0,2.39,46.46,65.63,34.37,52.37,0.53,0.79,13.48,1.59,12.7,0.68,26.41,0.84
(주)경농,002100,2019/12,4.27,2.05,3.51,-26.54,4.67,2.43,3.74,65.11,1712.08,0,2.06,55.65,64.23,35.77,55.69,0.52,0.8,13.95,1.48,30.72,1.19,49.39,1.43
(주)경농,002100,2020/12,0.64,3.34,9.46,48.11,6.31,3.51,5.39,96.44,1770.84,0,2.26,42.7,65.95,34.05,51.62,0.56,0.85,15.27,1.59,11.95,0.66,14.64,0.75
(주)경농,002100,2021/12,4.62,8.56,5.5,134,14,8,11.9,225.66,1897.01,0,2.92,25.55,68.43,31.57,46.13,0.57,0.85,16.11,1.74,8.43,1.01,9.73,1.18
(주)경동나비엔,009450,2016/12,7.02,13.49,12.89,48.21,5.66,8.52,14.48,224.78,1555.04,0,0.9,6.61,60.46,39.54,65.39,1.51,2.56,39.73,3.65,11.77,1.68,6.17,0.67
(주)경동나비엔,009450,2017/12,12.59,5.63,12.59,-43.11,2.86,4.41,7.54,127.88,1647.94,0,1.14,15.5,56.73,43.27,76.28,1.54,2.64,44.73,3.71,23.81,1.83,28.83,0.68
(주)경동나비엔,009450,2018/12,12.55,8.25,8.47,40.06,3.69,5.49,9.87,179.11,1791.81,100,1.31,13.83,54.56,45.44,83.28,1.49,2.67,48.52,3.35,19.43,1.94,0,0.72
(주)경동나비엔,009450,2019/12,4.79,5.91,6.04,-10.27,3.12,4.54,8.27,160.71,1903.3,0,1.49,18.5,55.15,44.85,81.34,1.45,2.65,51.45,3.22,20.22,1.71,10.85,0.63
(주)경동나비엔,009450,2020/12,16.01,10.56,13.87,-7.75,2.53,3.79,7.05,143.4,1973.55,0,1.68,25,52.56,47.44,90.27,1.5,2.78,56.66,3.24,17.57,1.24,6.1,0.44
(주)경동나비엔,009450,2021/12,24.65,28.24,27.44,229.72,6.55,10.35,19.39,442.11,2381.98,100,1.8,10.44,54.07,45.93,84.94,1.58,2.96,67.52,3.39,10.21,1.86,9.35,0.67
(주)경동도시가스,267290,2017/12,,,,,,,,,,,,,,,,,,,,,,,
(주)경동도시가스,267290,2018/12,0,0,0,0,2.12,4.38,10.66,288.16,2604.31,0,1.29,12.14,41.08,58.92,143.41,2.07,5.04,136.16,3.51,4.46,0.5,1.26,0.09
(주)경동도시가스,267290,2019/12,-3.66,5.94,-11.45,-28.33,1.71,3.2,7.42,183.6,2192.49,0,1.53,21.16,45.18,54.82,121.34,1.87,4.33,107.18,3.28,4.91,0.37,3.56,0.08
(주)경동도시가스,267290,2020/12,-6.73,5.08,-23.62,-22.75,1.73,2.6,5.43,127.65,2308.97,0,1.45,27.4,50.9,49.1,96.46,1.5,3.14,73.69,2.89,3.78,0.21,0,0.07
(주)경동도시가스,267290,2021/12,29.35,5.3,34.1,17.99,1.52,2.78,6.09,150.61,2436.47,0,1.38,23.22,41.43,58.57,141.35,1.82,4,98.81,3.35,4.7,0.29,0.75,0.07
(주)경동인베스트,012320,2016/12,-2.44,1.41,-24.51,0,1.6,1.79,2.96,93.87,3167.2,100,0.75,25.37,61.54,38.46,62.48,1.12,1.85,58.6,2.81,12.59,0.38,6.32,0.2
(주)경동인베스트,012320,2017/12,-64.81,-44.31,-99.94,-55.68,1183.54,1.19,1.67,49.56,2580.97,0,0.37,15.68,97.41,2.59,2.66,0,0,0.04,0,14.18,0.34,2.07,167.82
(주)경동인베스트,012320,2018/12,0.23,0.2,1118.23,-78.27,21.11,0.49,0.51,13.32,2586.33,100,0.37,72.16,97.38,2.62,2.69,0.02,0.02,0.63,0.9,52.56,0.27,47.89,11.09
(주)경동인베스트,012320,2019/12,-0.69,-0.68,15.82,0,-10.62,-0.29,-0.3,-7.76,2573.56,100,0.37,0,97.39,2.61,2.68,0.03,0.03,0.73,1.04,0,0.24,71.1,8.43
(주)경동인베스트,012320,2020/12,-3.03,-0.9,-10.88,0,17.01,0.42,0.43,11.08,2570.3,100,0.36,83.24,99.53,0.47,0.47,0.02,0.03,0.65,1.59,29.97,0.13,0,5.1
(주)경동인베스트,012320,2021/12,-0.31,-0.23,15.14,-72.72,4.03,0.12,0.12,3.02,2564.4,0,0.54,457.6,99.61,0.39,0.39,0.03,0.03,0.75,6.7,186.3,0.22,80.84,7.51
(주)경방,000050,2016/12,-1.79,2.75,1.99,43.38,9.87,2.48,4.55,225.99,4935.48,0,0.71,15.93,55.8,44.2,79.22,0.25,0.46,22.9,0.55,1.35,0.06,0.68,0.13
(주)경방,000050,2017/12,-3.07,3,-8.21,-17.1,8.91,2.11,3.67,187.34,5086.63,0,0.69,19.22,59.29,40.71,68.65,0.24,0.41,21.02,0.56,13.99,0.51,7,1.25
(주)경방,000050,2018/12,2.29,2.56,-3.13,13.7,10.46,2.41,4.05,213.01,5260.3,0,0.46,11.55,59.45,40.55,68.21,0.23,0.39,20.36,0.57,9.67,0.39,9.59,1.01
(주)경방,000050,2019/12,5.68,1.58,-9.15,-23.89,8.77,1.76,3.02,162.13,5385.78,0,0.45,14.86,57.14,42.86,75,0.2,0.34,18.5,0.48,11.29,0.34,3.84,0.99
(주)경방,000050,2020/12,-6.47,2.53,-10.84,17.04,11.51,2.07,3.47,189.76,5550.08,0,0.43,12.5,62.64,37.36,59.64,0.18,0.3,16.49,0.45,7.11,0.25,3.98,0.82
(주)경방,000050,2021/12,0.15,0.95,20.2,-10.4,8.58,1.92,3.05,170.02,5700.04,0,0.41,13.43,63.15,36.85,58.36,0.22,0.36,19.82,0.6,13.53,0.41,0,1.16
(주)경보제약,214390,2016/12,4.22,5.36,4.88,-51.34,6.8,6.37,10.08,106.3,982.55,0,3.69,37.63,63.51,36.49,57.44,0.94,1.48,15.62,2.54,21.92,2.3,11,1.49
(주)경보제약,214390,2017/12,0.56,9.36,2.64,41.38,9.37,8.79,13.26,150.28,1083.84,0,4.22,33.27,69.07,30.93,44.77,0.94,1.41,16.03,2.78,14.37,1.94,10.01,1.35
(주)경보제약,214390,2018/12,8.18,5.3,5.05,-26.98,6.51,6.15,9.03,109.73,1146.61,0,3.21,36.45,67.24,32.76,48.73,0.94,1.39,16.84,2.96,16.95,1.57,0,1.1
(주)경보제약,214390,2019/12,7.31,0.1,-4.79,-59.7,2.76,2.3,3.55,44.22,1147.87,0,1.6,45.23,62.72,37.28,59.43,0.83,1.29,16.04,2.38,33.2,1.22,7.41,0.92
(주)경보제약,214390,2020/12,6.49,4.62,12.3,77.94,4.37,3.83,6.16,78.68,1205.54,0,1.53,25.42,61.62,38.38,62.27,0.88,1.41,18.01,2.32,11.64,0.73,5.27,0.51
(주)경보제약,214390,2021/12,-6.42,-6.64,-20.73,0,-4.39,-3.06,-4.97,-62.7,1118.9,0,0.82,0,61.48,38.52,62.65,0.7,1.13,14.28,1.81,0,1.36,10.67,1.12
(주)경인양행,012610,2016/12,5.94,2.75,2.43,3370.58,2.08,1.32,1.98,18.44,859.28,0,1.03,53.07,65.86,34.14,51.83,0.64,0.95,8.88,1.92,34.16,0.68,15.11,0.71
(주)경인양행,012610,2017/12,2.37,-0.09,8.2,-85.74,0.27,0.18,0.28,2.63,856.36,0,1.04,373.5,64.28,35.72,55.58,0.66,1.02,9.6,1.89,279.82,0.8,227.83,0.77
(주)경인양행,012610,2018/12,16.17,3.87,14.79,1296.59,3.33,2.31,3.81,36.73,885.28,0,1.01,27.06,57.48,42.52,73.99,0.69,1.14,11.02,1.76,25.59,0.99,208.22,0.85
(주)경인양행,012610,2019/12,10.48,1.44,10.14,-35.34,1.96,1.32,2.4,23.64,887.62,0,1.01,42.4,52.77,47.23,89.5,0.68,1.23,12.08,1.5,46.23,1.14,0,0.9
(주)경인양행,012610,2020/12,1.32,-4.73,-12.59,0,-4.77,-2.67,-5.21,-49.83,829.85,0,1.07,0,49.62,50.38,101.53,0.56,1.09,10.45,1.14,0,0.8,3.95,0.69
(주)경인양행,012610,2021/12,19.69,8.73,28.85,0,6.52,4.25,9.01,86.98,903.6,0,1,11.51,45.08,54.92,121.84,0.65,1.38,13.34,1.23,13.58,1.22,181.99,0.89
