회사명,거래소코드,회계년도,[제조]유동부채비율(IFRS),[제조]매출액순이익률(IFRS),[제조]총자본증가율(IFRS),[제조]순이익증가율(IFRS),[제조]CASH FLOW 대 매출액비율(IFRS),[제조]CASH FLOW 대 부채비율(IFRS),[제조]차입금의존도(IFRS),[제조]이자보상배율(이자비용)(IFRS),[제조]금융비용 대 총비용비율(IFRS),[제조]설비투자효율(IFRS),[제조]CASH FLOW 대 총자본비율(IFRS),[제조]자본금회전률(IFRS),[제조]총자본투자효율(IFRS),[제조]총자본회전률(IFRS),[제조]유동자산증가율(IFRS),[제조]매출액증가율(IFRS),[제조]매출액총이익률(IFRS),[제조]자기자본순이익률(IFRS),[제조]매출채권회전률(IFRS),[제조]재고자산회전률(IFRS),[제조]유형자산회전율(IFRS),[제조]매출원가 대 매출액비율(IFRS),[제조]부채비율(IFRS),[제조]유동비율(IFRS),[제조]자기자본배율(IFRS),[제조]당좌비율(IFRS),[제조]순운전자본비율(IFRS),[제조]현금비율(IFRS),[제조]타인자본회전률(IFRS),[제조]정상영업이익증가율(IFRS),[제조]총자본순이익률(IFRS)
(주)누리플렉스,040160,2017/12,128.15,-4.9,64.43,0,3.4,4.09,22.51,3.27,0.81,47.16,2.52,15.95,5.33,0.92,73.52,102.02,26.61,-9,3.64,7.98,6.51,73.39,160.06,113.46,828.68,81.04,6.63,15.22,1.84,-64.96,-4.51
(주)뉴로스,126870,2017/12,75.38,-13.3,21.48,0,-2.5,-1.81,40.08,1.03,3.93,29.12,-0.92,5.57,4.55,0.4,31.81,-1.62,31.51,-10.21,1.45,2.56,2.09,68.49,103.29,186.91,703.49,147.82,32.23,16.69,0.85,-12.71,-5.36
(주)뉴보텍,060260,2017/12,78.58,-2.32,-1.26,0,-1.59,-4.54,21.07,-4.56,0.3,82.58,-2.12,3.33,21.55,1.32,-3.93,14.27,25.72,-5.67,5.33,15.47,5.13,74.28,87.38,160.71,133.98,141.75,25.46,9.39,2.86,0,-3.06
(주)뉴인텍,012340,2017/12,141.22,-8.44,-2.68,0,-0.32,-0.51,39.89,-1.83,1.62,41.9,-0.34,1.78,16.74,1.02,-6.45,0.55,5.75,-21.95,5.57,6.93,2.47,94.25,188.77,83.1,59.52,52.14,-8.26,5.11,1.69,0,-8.64
(주)뉴파워프라즈마,144960,2017/12,15.78,17.75,10.43,65.7,18.21,92.85,2.84,140.05,-0.67,116.52,13.52,25.55,30.78,0.78,2.78,55.04,49.36,16.82,11.31,9.25,3.01,50.64,17.05,429.86,2914.33,382.41,44.47,18.98,4.38,77.98,13.83
(주)뉴프렉스,085670,2017/12,113.07,1.72,7.85,0,8.03,17.64,33.85,5.19,0.76,58.97,10.58,23.49,26.38,1.37,8.65,4.65,9.89,6.01,7.7,5.66,2.92,90.11,149.81,105.96,679.14,51.07,2.7,3.59,2.25,565.47,2.36
(주)다나와,119860,2017/12,10.21,29.78,18.27,58.11,28.73,153.75,0.12,6944.66,-3.78,823.12,14.57,8.61,29.94,0.55,15.84,30.89,0,17.96,11.38,0,19.03,0,10.47,721.64,1157.57,721.64,57.45,193.63,6.22,77.89,16.37
(주)다날,064260,2017/12,117.64,8.27,12.89,43.37,-25.67,-16.37,31.07,9.23,0.43,2141.29,-9.42,6.84,8.23,0.39,14.81,18.15,0,7.81,6.21,89.95,82.34,0,135.69,166.58,737.96,166.19,33.23,17.5,0.66,45.15,3.22
(주)다산네트웍스,039560,2017/12,59.72,3.55,3.56,0,-9.36,-2.53,17.48,0.19,3.32,45,-1.05,2.29,4.08,0.11,19.66,5.11,37.8,0.75,3.5,4.96,1.21,62.2,71.58,78.61,1104.02,73.12,-7.45,9.44,0.25,0,0.41
(주)다우데이타,032190,2017/12,68.4,5.27,1.73,0,10.8,13.59,27.13,3.29,-2.01,413.7,5.9,7.89,9.18,0.55,15.63,40.62,14.14,5.16,8.72,25.23,14.11,85.86,76.87,102.19,815.93,94.96,0.85,43.84,1.26,179.26,2.91
(주)다원시스,068240,2017/12,58.29,8.73,41.63,35.78,-13.69,-10.17,34.92,4.12,2.55,37.84,-4.81,9.56,11.56,0.41,10.63,59.15,32.72,6.5,1.61,58.46,1.45,67.28,89.86,143.79,1424.76,141.82,13.44,10.58,0.92,37.06,3.6
(주)대동스틸,048470,2017/12,20.86,6.8,26.56,42.25,-0.93,-5.81,0,1421.75,-0.65,102.08,-1.07,18.1,14.48,1.27,44.57,32.75,10.3,9.97,4.33,5.6,7.93,89.7,22.46,403.62,1296.3,262.87,51.72,55.65,9.66,27.01,8.66
(주)대륙제관,004780,2017/12,42.68,4.88,3.99,-33.72,9.81,35.61,10.78,25.39,0.17,99.48,12.53,24.79,28.75,1.3,2.51,5.85,13.18,9.95,5.66,7.57,3.77,86.82,54.29,207.34,1258.3,145.39,29.69,44.36,3.6,-31.47,6.35
(주)대림제지,017650,2017/12,30.28,-0.5,67.26,0,4.25,5.01,24.29,42.72,0.05,11.43,1.89,20.12,5.85,0.56,33.11,34.26,10.94,-0.4,5.78,32.79,1.16,89.06,60.69,91.09,2813.76,81.75,-1.68,31.92,1.81,-37.36,-0.28
(주)대명소노시즌,007720,2017/12,24.69,-2.12,0.16,0,5.13,21.36,18.33,3.75,0.36,946.4,7.6,4.35,16.23,1.48,-30.81,6.31,17.55,-4.73,8.49,36.19,70.93,82.45,55.27,336.14,189.03,310.45,37.55,9.66,4.41,88.2,-3.14
(주)대성미생물연구소,036480,2017/12,10.16,6.48,-2.32,-65.35,10.82,57.98,3.45,77.35,-0.33,76.5,7.48,12.65,28.39,0.68,-6.82,-21.94,30.06,5.25,6.91,3.63,1.86,69.94,14.81,622.51,1594.55,402.14,46.26,170.39,4.34,-59.69,4.43
(주)대성엘텍,025440,2017/12,114.33,-1.83,-6.68,0,3.11,18.98,27.97,1.79,0.24,59.11,10.66,6.95,23.99,3.3,-7.47,-2.21,4.02,-13.55,15.54,18.73,8.31,95.98,128.04,91.2,88.92,55.61,-4.41,3.73,5.97,-59.58,-6.05
(주)대성파인텍,104040,2017/12,42.65,5.37,30.1,-44.34,13.73,15.58,32.39,5.97,1.12,29.57,6.76,14.3,15.38,0.56,-8.56,-9.34,20.27,5.03,3.28,7.36,1.11,79.73,76.62,152.21,1563.2,122.05,12.61,53.8,1.37,-32.57,2.99
(주)대원,007680,2017/12,52.29,8.93,6.67,-36.84,7.34,12.29,9.05,276.29,-0.31,355.76,4.88,49.55,14.15,0.69,16.16,15.03,14.6,10.53,471.34,3.3,19.28,85.4,65.73,221.48,4288.13,151.44,38.33,88,1.64,33.28,6.12
(주)대창솔루션,096350,2017/12,80.1,-36.48,-7.37,0,-12.5,-6.43,44.2,-4.16,4.73,3.59,-3.45,4.21,2.78,0.27,-23.66,-15.33,-11.43,-21.33,4.57,3.08,0.35,111.43,115.85,43.91,569.84,19.37,-20.81,1.43,0.49,0,-9.69
(주)대창스틸,140520,2017/12,87.05,0.08,3.08,0,0.02,0.05,41.59,1.38,1.3,17.38,0.03,28.33,5.61,1.1,10.37,2.29,4.85,0.19,4.69,7,3.29,95.15,128.79,114.97,990.72,70.05,5.7,1.42,1.92,885.83,0.08
(주)대한과학,131220,2017/12,30.59,1.66,-12.62,-60.26,13.69,50.49,4.35,9.1,0.02,60.71,13.49,8.85,22.17,0.92,-17.97,-18.42,25.9,2.24,5.94,2.83,2.64,74.1,36.48,234.67,657.87,80.53,30.18,6.24,2.87,-5.45,1.52
(주)대호특수강,021040,2017/12,105.64,1.96,7,-28.38,6.1,15.28,34.64,4.74,1.07,63.93,8.29,6.24,20.67,1.4,10.79,10.57,10.13,7.3,4.04,7.95,4.44,89.87,118.79,113.14,178.52,73.52,6.34,2.27,2.25,-13.99,2.75
(주)더 미동,161570,2017/12,4.98,1.14,-1.78,0,2.35,26.01,0,228.29,-2.38,1938.94,1.23,4.08,2.33,0.52,-4.53,-2.56,9.03,0.63,8.8,41.36,240.6,90.97,4.98,848.72,740.28,837.19,35.5,564.16,8.66,0,0.59
(주)더블유게임즈,192080,2017/12,3.41,21.94,6.88,-27.59,33.29,355.03,0,999999999,-2.07,3250.92,12.79,18.54,10.18,0.4,-79.94,3.91,0,9.04,9.2,0,132.99,0,3.74,459.42,4599.1,459.42,11.81,58.98,10.87,31.48,8.71
(주)더블유아이,073570,2017/12,13.54,-97.37,-21.75,0,-45.84,-131.25,9.2,-2.95,4.96,-120.96,-17.17,1.43,-24.05,0.33,8.96,111.21,-6.64,-55.3,12.46,698.61,2.13,106.64,15.05,316.09,506.4,316.09,25.43,192.32,0.78,0,-32.02
(주)덕신하우징,090410,2017/12,66.35,5.09,-5.6,0,0.43,1.22,25.44,7.8,0.54,59.96,0.51,30.67,23.24,1.14,-10.84,2.17,14.52,10.74,3.82,8.49,2.88,85.48,70.31,127.54,1535,94.92,10.73,7.09,2.48,0,5.8
(주)데이타솔루션,263800,2017/12,108.72,0.98,56.59,-71.01,-0.48,-1.32,13.49,2.37,0.19,1800.07,-0.7,13.16,27.18,1.77,74.22,-10.69,15.14,3.77,7.08,10.45,122.61,84.86,112.01,158.77,381.1,122.96,30.14,34.94,3.29,-85.85,1.74
(주)데코앤이,017680,2017/12,69.28,-58.3,-8.38,0,-0.22,-0.45,24.24,-2.28,0.13,-1187.22,-0.19,0.99,-32.5,0.81,-19.7,-4.72,56.03,-74.34,10.23,3.34,30.7,43.97,71.71,153.27,59.2,89.32,21.49,45.05,2.24,0,-47.35
(주)덱스터스튜디오,206560,2017/12,89.29,-137.72,3.92,0,-19.91,-10.27,27.21,-9.03,2.47,-247.61,-5.58,2.27,-20.75,0.29,-23.73,-21.38,-42.51,-57.86,1.55,0,3.44,142.51,118.97,121.07,363.85,121.07,8.59,41.22,0.89,0,-39.36
(주)덴티스,261200,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)동구바이오제약,006620,2017/12,90.87,10.83,15.74,0.3,10.92,29.32,19.88,23.2,0.61,92.62,14.61,27.99,34.55,1.44,38.32,15.75,60.2,36.43,5.54,8.87,3.5,39.8,99.39,129.22,994.69,93.96,13.32,28.77,2.5,25.92,15.55
(주)동국알앤에스,075970,2017/12,46.09,2.5,-0.94,77,2.45,3.93,20.78,3.04,0.37,22.82,1.55,3.74,8.12,0.63,-1.53,2.56,17.81,2.64,2.95,4.08,1.78,82.19,65.53,146.55,355.45,82.98,12.96,4.98,1.58,56.33,1.58
(주)동국에스엔씨,100130,2017/12,13.38,5.21,-0.1,-53.14,19.33,64.56,0.37,832.41,-1.17,23.62,10.41,6.05,7.16,0.54,10.05,-16.6,13.31,3.35,9.05,4.23,1.79,86.69,19.22,407.31,942.05,315.84,34.49,98.56,3.29,-49.68,2.8
(주)동방선기,099410,2017/12,7.11,-19.09,-16.56,0,7.64,31.95,0,999999999,-0.51,34.78,4.21,2.85,19.27,0.5,28.62,-33.93,6.44,-10.85,2.71,7.78,0.98,93.56,15.17,705.88,449.65,606.15,37.43,308.18,4.22,0,-9.56
(주)동성화인텍,033500,2017/12,106.69,-18.25,-21.48,0,8.98,13.67,45.52,-7.79,0.87,-2.8,8.66,15.38,-1.48,0.85,-36.06,-36.08,0.18,-38.2,4.79,4.8,1.78,99.82,172.87,109.23,584.8,75.8,3.61,15.25,1.43,0,-15.48
(주)동아엘텍,088130,2017/12,18.83,15.07,7.63,90.74,4.36,23.25,1.51,344.78,-0.13,187.3,3.99,22.37,26.73,0.95,4.25,68.8,19.15,18.33,6.43,52.29,6.19,80.85,20.72,426.07,2024.8,410.42,50.85,265.79,4.31,20.23,14.3
(주)동양에스텍,060380,2017/12,78.66,1.98,3.16,-27.46,-2.72,-8.36,37.06,1.44,0.56,56.21,-4.16,31.97,8.86,1.56,16.03,18.91,5.41,6.16,4.3,11.36,9.56,94.59,98.92,138.2,1049.34,96.02,15.1,3.28,3.11,-22.76,3.08
(주)동우팜투테이블,088910,2017/12,14.09,7.58,15.48,35.2,7.59,60.17,2.81,220.07,-0.3,226.69,8.74,18.92,22.75,1.23,19.28,-2.08,13.73,11.1,13.08,73.66,11.28,86.27,16.99,486.23,1326.9,475.2,46.52,64.58,7.85,73.48,9.36
