회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결)
(주)ES큐브,050120,2014/12,12.1,-1.38,20.1,0,6.16,39.24,4.74,22.2,-1.29,251.09,4.84,2.44,10.2,0.86,20.49,-24.13,21.42,1.15,13.48,7.2,19.86,78.58,14.07,769.89,228.93,668.53,71.03,425.42
(주)ES큐브,050120,2015/12,10.83,-5.47,-1.75,0,0.13,0.93,3.47,-11.86,-0.47,135.68,0.1,2.31,4.8,0.75,-10.89,-5.19,27.8,1.56,14.27,6.55,19.76,72.2,12.01,765.67,233.16,639.55,64.37,492.89
(주)ES큐브,050120,2016/12,4.75,62.82,89.08,3206.73,-2.24,-2.3,28.34,8.98,-0.61,380.46,-0.73,1.76,25.56,0.43,23.57,-18.65,28.68,38.07,13.3,4.82,7.59,71.32,46.68,1493.9,344.51,1275.25,45.15,918.41
(주)ES큐브,050120,2017/12,5.08,4.86,0.69,-92.01,4.97,5.37,27.01,2.86,1,64.47,1.68,1.15,7.08,0.34,0.3,4.25,27.1,2.41,13.8,4.53,3.83,72.9,45.42,1378.49,174.95,1153.05,44.7,654.97
(주)ES큐브,050120,2018/12,53.16,-18.13,6.17,-325.15,1.43,1.16,31.99,-0.82,1.72,7.67,0.43,0.81,1.04,0.31,-11.71,-5.55,22.89,-5.54,11.85,3.84,2.52,77.11,58.92,119.8,164.19,95.25,6.62,71.07
(주)ES큐브,050120,2019/12,310.83,-31.5,312.66,0,84.97,9.52,14.85,-0.68,5.02,-3.22,8,1.04,-0.12,0.15,696.75,29.45,18.75,-21.76,0.42,5.18,2.69,81.25,526.65,156.01,129.45,152.69,27.78,48.38
(주)가비아,079940,2011/12,28.57,13.28,22.76,9.94,18.83,61.1,5.82,22.28,-0.52,116.43,15.32,8.3,39.7,0.9,23.7,30.07,44.79,18.06,12.66,2306.01,2.51,55.21,33.47,207.38,432.15,207.27,22.99,86.37
(주)가비아,079940,2012/12,25.21,13.64,31.24,46.89,16.56,43.49,15.52,15.43,-6.04,82.09,13.42,10.6,36.43,0.92,10.96,30.7,41.64,21.3,12.67,525.34,2.3,58.36,44.62,215.35,528.7,213.68,20.11,87.48
(주)가비아,079940,2013/12,21.87,13.45,7.02,-10.69,18.42,57.53,11.69,15.81,-4.34,88.61,14.27,10.6,35.98,0.8,16.92,2.34,44.98,15.65,11.61,413.22,1.89,55.02,32.99,249.42,615.59,248.8,24.57,82.18
(주)가비아,079940,2014/12,21.49,8.4,8.02,-41.1,18.05,63.03,9.13,24.59,-0.35,92.13,14.73,11.97,34.68,0.85,12.05,13.8,43.71,8.18,27.05,1718.42,2.17,56.29,30.51,258.29,664.46,258.29,26.07,98
(주)가비아,079940,2015/12,15.71,9.31,6.63,62.73,19.36,84.54,5.72,64.83,-0.46,112.95,16.88,13.54,39.68,0.9,24.61,13.95,45.36,11.99,25.06,0,2.48,54.64,24.95,395.42,745.83,395.42,37.14,175.75
(주)가비아,079940,2016/12,21.25,9.96,19.71,-3.61,18.17,62.2,7.47,83.64,-0.4,105.07,14.76,15.1,36.1,0.89,15.32,11.49,46.17,10.68,10.12,149.85,2.55,53.83,31.1,295.5,781.47,288.81,31.68,124.81
(주)가비아,079940,2017/12,29.43,8.32,6.03,-12.57,16.48,57.21,7.2,53.72,-0.3,108.49,14.36,17.17,36.5,0.9,9.75,13.74,48.1,8.88,7.68,76.48,2.62,51.9,33.52,224.87,823.81,219.17,27.52,101.89
(주)가비아,079940,2018/12,26.09,11.92,13.54,54.56,16.44,56.79,7.83,62.3,-0.32,137.57,13.97,19.02,41.1,0.9,18.07,10.76,48.92,12.58,7.13,70.39,2.72,51.08,32.62,262,927.98,255.35,31.87,101.66
(주)가비아,079940,2019/12,31.93,14.23,32.01,43.49,19.83,45.28,17.58,34.25,0.03,209.21,14.71,21.91,66.57,0.84,11.3,15.21,48.99,15.73,7.19,64.12,2.21,51.01,48.13,201.58,1081.94,195.45,21.9,66.71
(주)강스템바이오텍,217730,2013/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2017/12,26.01,-126.27,0,0,-116.58,-46.87,30.19,-8.15,4.59,-10.95,-22.56,1.12,-1.37,0.19,0,0,35.68,-46.19,20.71,5.29,0.69,64.32,92.79,396.43,302.13,369.34,40,61.46
(주)강스템바이오텍,217730,2018/12,42.15,-155.96,55.08,0,-120.69,-43.19,23.79,-12.31,3.35,-59.54,-15.11,0.99,-4.55,0.15,94.06,0.36,12.84,-37.79,7.39,5.03,0.65,87.16,53.83,244.28,458.01,234.71,39.53,16.06
(주)강스템바이오텍,217730,2019/12,29.98,-439.57,55.26,0,-206.5,-27.6,27.22,-21.5,1.89,-255.84,-10.91,0.53,-11.83,0.06,13.09,-34.49,-7.07,-41.61,5.06,5.5,0.26,107.07,65.37,268.99,587.15,267.69,30.63,37.29
(주)강원에너지,114190,2011/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,2012/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,2013/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,2015/12,33.33,0.22,0,0,20.57,32.9,11.7,187.51,-0.47,77.63,11.12,6.06,9.15,0.54,0,0,17.15,0.18,2.93,37.43,3.6,82.85,51.03,333.65,709.27,327.11,51.57,169.33
(주)강원에너지,114190,2016/12,21.95,-2.66,-9.68,-1190.24,-7.43,-14.22,12.96,-241.54,-0.62,82.96,-4.07,5.54,10.55,0.52,-14.64,-8.45,16.59,-1.99,1.99,53.9,3.06,83.41,40.11,444.3,690.5,441.52,53.93,131.49
(주)강원에너지,114190,2017/12,69.76,-7.86,20.72,0,-11.88,-21.72,11.78,-26.56,-0.07,7.18,-10.46,10.76,0.74,0.96,26.72,93.99,1.05,-12.58,2.27,235.53,5.44,98.95,92.91,202.02,604.64,200.95,36.89,41.76
(주)강원에너지,114190,2018/12,86.86,1.99,0.71,0,-8.08,-15.9,26.05,0.2,1.45,125.77,-7.4,11.22,12.36,0.92,3.66,4.72,6.86,4.19,1.97,189.82,5.7,93.14,86.93,161.8,628.4,160.55,28.72,45.27
(주)강원에너지,114190,2019/12,145.99,-83.78,-39.69,-1763.05,-3.78,-4.53,32.91,-8.38,1.96,-275.98,-2.84,5.19,-43.28,0.57,-56.71,-50.47,-14.43,-94.77,1.53,128.45,3.38,114.43,167.94,99.04,242.2,98.65,-0.52,11.8
(주)고려시멘트,198440,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고영테크놀러지,098460,2011/12,21.4,18.15,23.1,-4.46,13.59,67.32,0,22785.6,-0.61,206.39,13.45,20.09,33.3,1.09,24.16,18.06,57.08,25.06,3.74,7.34,6.18,42.92,24.97,424.78,1608.46,329.07,55.63,42.81
(주)고영테크놀러지,098460,2012/12,18.71,14.12,18.79,-2.55,11.73,63.41,0,1627.45,-0.66,209.86,12.24,24.54,31.57,1.13,22.99,25.21,57.02,19.91,4.19,6.73,7.05,42.98,23.92,498.93,1857.36,385.1,60.23,49.28
(주)고영테크놀러지,098460,2013/12,18.14,12.45,17.03,-8.36,11.03,54.53,0,443.96,-0.62,220.81,10.2,24.99,25.81,1,21.88,3.77,55.34,15.35,3.78,5.79,7.37,44.66,23.02,532.19,2190.86,415.02,63.72,82.6
(주)고영테크놀러지,098460,2014/12,17.68,15.48,17.17,58.83,13.61,75.11,0.29,1673.12,-0.55,233.98,13.72,25.52,32.95,1.09,14.49,27.65,57.81,20.68,4.23,7.33,8.21,42.19,22.35,530.61,1721.05,442.26,62.22,96.89
(주)고영테크놀러지,098460,2015/12,15.98,16.13,12.09,6.03,14.45,77.01,0.17,2242.05,-0.42,236.1,13.27,21.56,29.3,0.97,12.14,2.15,61,18.99,3.62,7.8,7.36,39,20.83,579.96,1923.26,487.87,63.47,126.58
(주)고영테크놀러지,098460,2016/12,17.47,17.3,22.83,26.71,13.33,60.5,0.06,2001.96,-0.3,260.7,11.74,25.16,31.86,0.97,27.13,17.74,62.83,20.61,3.49,8.83,7.89,37.17,24.07,563.7,2295.46,492.5,65.3,168.56
(주)고영테크놀러지,098460,2017/12,20.01,13.15,5.17,-10.2,12.09,56.02,0,6141.06,-0.2,259.28,11.98,29.74,32.01,1.02,4.17,18.38,64.65,16.76,3.33,9.72,8.27,35.35,27.21,499.8,2357.41,430.73,62.9,142.52
(주)고영테크놀러지,098460,2018/12,17.92,17.76,35.99,58.71,8.75,39.2,0,5839.89,-0.58,265.42,7.47,34.81,30.94,0.98,41.03,17.13,62.5,21.86,3.17,8.87,8.15,37.5,23.55,562.28,3300.23,484.7,67.04,57.35
(주)고영테크놀러지,098460,2019/12,15.76,13.31,9.47,-30.13,11.47,41.2,4.22,112.96,-0.65,225.13,8.34,32.41,26.43,0.76,-0.78,-6.78,63.58,12.59,2.73,6.56,6.31,36.42,25.37,587.8,3552.55,493.22,61.34,70.8
(주)골드앤에스,035290,2011/12,96.87,2.11,3.62,0,18.53,36.32,33.01,1.13,1.03,1514.88,18.86,1.84,33.36,1.04,33.08,-5.87,31.52,4.57,6.78,16.01,39.79,68.48,108.04,108.02,86.85,94.83,3.73,0.68
(주)골드앤에스,035290,2012/12,81.11,-14.74,11.3,0,12.65,21.01,31.22,-1.91,1.43,772.83,10.69,1.42,14.7,0.89,13.56,-7.65,29.34,-26.93,6.26,15.93,43.54,70.66,103.59,128.81,71.5,116.04,11.48,15.05
(주)골드앤에스,035290,2013/12,227.02,-42.57,-0.98,0,2.88,2.97,49.89,-3.83,2.83,5.83,2.21,1.1,2.67,0.77,-40.76,-9.89,28.88,-86.53,6.81,13.69,3.22,71.12,291.87,52.99,28.22,42.48,-27.23,0.6
(주)골드앤에스,035290,2014/12,207.3,-29.79,-9.55,0,-1.91,-1.73,50.11,-1.41,5.32,17.61,-1.28,1.49,8.62,0.64,-4.56,-20.89,25.04,-90.29,6.26,10.3,1.35,74.96,285.09,60.18,146.14,48.43,-21.44,1.37
(주)골드앤에스,035290,2015/12,52.39,-42.81,-48.2,0,1.62,4.01,10.18,1.99,1.98,416.13,1.49,2.79,5.71,0.63,1.94,-29.05,31.53,-76.1,4.35,8.42,1.92,68.47,58.98,193.43,153.84,164.1,30.79,6.65
(주)골드앤에스,035290,2016/12,25.72,2.46,-22.53,0,10.66,38.47,10.12,2.42,0.84,2333.26,9.07,1.6,25.52,0.74,-43.63,-28.4,41.19,2.65,3.27,7.41,59.4,58.81,30.86,235.98,142.4,182.61,26.73,13.2
(주)골드앤에스,035290,2017/12,23.97,-62.3,-8.02,-2141.05,7.97,26.66,9.03,-26.15,0.35,-3780.33,5.94,1.21,-24.99,0.71,25.06,-19.45,37.49,-57.72,4.12,8.49,47.18,62.51,28.68,338.62,120.41,305.56,44.44,67.09
(주)골드앤에스,035290,2018/12,203.22,-50.46,147.31,0,-15.99,-4.84,52.35,-4.56,6.13,-2.93,-3.27,0.77,-0.73,0.29,94.18,-32.19,49.25,-32.3,5.94,7.39,1.51,50.75,208.23,75.1,121.1,70.49,-16.42,54.46
(주)골드앤에스,035290,2019/12,0,-325.58,-62.1,0,-63.09,-22.76,112.14,-1.46,13.94,-431.91,-29.96,1.21,-99.2,0.26,-81.41,-11.95,17.66,-572.47,6.44,8.55,1.02,82.34,0,18.57,-396.01,16.21,-106.52,3.6
(주)골드퍼시픽,038530,2011/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골드퍼시픽,038530,2012/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골드퍼시픽,038530,2013/12,66.56,-130.88,0,0,-32.56,-13.34,35.78,-11.34,1.71,-43.41,-6.93,0.56,-12.74,0.21,0,0,-14.99,-57.94,1.46,1.11,0.73,114.99,108.06,155.04,125.97,95.34,17.61,0.83
(주)골드퍼시픽,038530,2014/12,108.29,-44.83,0,0,-29.76,-19.33,41.73,-4.33,3.95,15.69,-11.69,0.94,3.71,0.39,0,0,-8.92,-48.56,2.16,2.15,1.66,108.92,153.19,133.18,89.29,90.47,14.19,0.62
(주)골드퍼시픽,038530,2015/12,19.29,-54.82,-31.89,0,-28.28,-71.42,10.41,-9.59,2.51,-108.01,-18.45,0.85,-9.75,0.53,-40.13,13.04,-5.61,-55.42,2.95,3.98,2.98,105.61,34.82,349.83,79.93,308.07,35.75,72.2
(주)골드퍼시픽,038530,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골드퍼시픽,038530,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골드퍼시픽,038530,2018/12,60.69,-78.34,0,0,-63.54,-20.45,40.43,-0.68,11.32,-1572.43,-9.59,0.67,-3.93,0.15,0,0,75.32,-21.81,5.56,3.55,60.31,24.68,88.31,196.78,234.43,183.6,31.19,103.14
(주)골드퍼시픽,038530,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골프존,215000,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골프존,215000,2016/12,46.79,16.84,0,0,16.24,52.38,18.63,59.8,-0.2,114.89,18.75,69.15,44.04,1.15,0,0,59.7,30.3,17.57,17.14,2.97,40.3,55.75,159.04,3843.66,136.62,17.74,55.55
(주)골프존,215000,2017/12,27.41,39.68,34.99,117.07,28.89,89.92,12.81,52.52,-0.5,123.58,22.79,63.77,34.14,0.91,78.87,-7.77,65.5,51.19,13.6,15.52,2.77,34.5,33.95,309.32,6032.07,284.03,42.84,212.93
(주)골프존,215000,2018/12,27.88,10.28,0.15,-74.25,28.5,95.76,7.54,37.61,-0.69,79.48,22.29,63.33,24.9,0.78,-9.54,-0.7,60.96,10.63,11.28,16.82,2.56,39.04,30.34,267.33,6212.16,248.01,35.79,108.81
(주)골프존,215000,2019/12,30.53,6.56,23.04,-20.6,14.65,32.16,18.21,32.18,-0.42,88.99,11.58,78.73,31.88,0.87,-43.74,24.31,62,8.21,14.18,23.11,2.48,38,56.26,133.84,6375.45,116.02,6.61,26.2
(주)골프존뉴딘홀딩스,121440,2011/12,7.79,21.54,100.9,-31.79,27.66,205.24,0.18,1101.46,-3.83,132.09,15.79,38.25,18.21,0.76,95.97,13.4,53.49,18.23,29.65,49.61,6.57,46.51,8.33,1016.66,5680.88,994.82,65.89,197.26
(주)골프존뉴딘홀딩스,121440,2012/12,31.07,25.33,43.08,57.8,18.54,41.54,16.34,31.08,-2.39,62.6,9.93,47.16,22.44,0.63,-3.24,34.22,54.55,19.34,28.11,24.26,2.31,45.45,31.41,208.99,6702.54,194.96,25.77,53.59
(주)골프존뉴딘홀딩스,121440,2013/12,49.61,0.77,17.92,-96.19,17.08,29.23,15.93,25.98,-1.21,50.99,9.78,29.73,16.43,0.62,4.83,26.07,48.79,0.67,26.82,14.54,1.74,51.21,50.24,133.05,2304.23,117.72,10.91,32.19
(주)골프존뉴딘홀딩스,121440,2014/12,39.57,18.44,19.47,2726.3,10.73,16.73,25.6,22.05,-0.01,38.44,6.05,23.32,21.71,0.61,-36.93,17.66,48.94,17.4,27.89,13.67,1.27,51.06,56.67,91.84,2639.88,75.96,-2.06,29.5
(주)골프존뉴딘홀딩스,121440,2015/12,18.78,529.43,0.69,999.37,4.11,3.13,24.3,-1.54,1.93,6.44,0.88,8.26,3.37,0.22,-45.03,-61.7,33.7,168.4,16.09,6.03,0.38,66.3,39.17,93.81,2559.37,70.63,-0.84,46.79
(주)골프존뉴딘홀딩스,121440,2016/12,27.39,1.18,-0.85,-99.54,0.13,0.14,25.35,5.22,2.12,12.75,0.04,11.36,6.63,0.32,5.31,47.86,48.12,0.75,50.51,8.41,0.61,51.88,44.06,70.74,2462.23,47.34,-5.56,22.85
(주)골프존뉴딘홀딩스,121440,2017/12,24.1,-10.1,-0.56,-636.22,3.44,2.88,27.5,2.81,2.29,5.95,0.97,9.98,3.08,0.28,14.69,-12.13,47.15,-4.2,40,5.76,0.54,52.85,51.02,97.2,2338.7,63.78,-0.45,39.77
(주)골프존뉴딘홀딩스,121440,2018/12,43.06,-3.37,2.41,0,-4.78,-3.69,28.95,0.15,2.34,16.11,-1.38,10.41,7.85,0.29,-14.81,4.34,42.07,-1.45,25.51,4.86,0.58,57.93,59.42,47.77,2262.58,23.21,-14.11,7.58
(주)골프존뉴딘홀딩스,121440,2019/12,19.08,-15.22,0.21,0,-3.17,-2.2,32.57,-0.36,3.4,8.42,-0.93,10.69,3.91,0.3,25.76,2.64,38.58,-6.89,21.94,4.59,0.62,61.42,73.61,147.33,2094.93,90.62,5.2,39.3
(주)광림,014200,2011/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)광림,014200,2012/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)광림,014200,2013/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)광림,014200,2014/12,66.51,-0.1,0,0,-2.74,-5.47,33.27,0.7,1,60.16,-2.59,12.11,13.94,0.95,0,0,24.19,1.09,6.17,3.01,4.08,75.81,89.88,174.84,342.88,85.19,26.21,23.65
(주)광림,014200,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)광림,014200,2016/12,93.21,-2.17,0,0,3.77,2.83,24.69,0.16,0.63,13.98,1.43,3.6,4.26,0.38,0,0,14.09,-1.92,4.24,3.29,1.23,85.91,102.28,83.29,407.4,58.22,-7.7,27.45
(주)광림,014200,2017/12,68.22,-17.46,-9.38,0,-4.42,-5.96,31.48,-3.19,2.23,17.01,-2.87,5.58,4.75,0.62,-11.28,54.85,2.98,-15.47,8.29,5.6,2.09,97.02,93.2,106.4,386.08,76.78,2.26,43.08
(주)광림,014200,2018/12,99.17,-20.82,-9.73,0,-10.45,-14.6,33.67,-0.23,2.33,-131.08,-7.6,5.57,-31.28,0.69,-3.65,1.04,10.29,-26.58,7.18,5.81,2.33,89.71,108.51,84.32,309.53,56.07,-7.46,18.36
(주)광림,014200,2019/12,163.61,-9.6,34.43,0,-8.75,-7.89,42.5,-2.3,2.21,38.25,-5.06,5.69,8.91,0.66,52.04,6.79,7.47,-7.84,6.61,5.51,2.44,92.53,178.13,77.11,295.96,58.44,-13.46,12.03
(주)광무,029480,2011/12,89.15,-96.85,0,0,16.35,22.2,31.26,-3.01,3.29,-180.22,11.14,0.83,-41.21,0.68,0,0,18.36,-131.02,5.94,4.65,2.85,81.64,100.75,111.42,60.55,78.43,5.07,17.65
(주)광무,029480,2012/12,68.86,-25.96,0,0,-14.11,-22.1,29.03,-2.69,1.74,22.99,-10.41,6.37,5.14,0.74,0,0,18.02,-36.23,4,5.41,3.3,81.98,89.07,117.03,456.21,79.59,6.2,3.09
(주)광무,029480,2013/12,245.96,-139.87,-36.57,0,-16.51,-12.74,42.49,-8.2,2.44,-173.98,-9.58,2.58,-54.24,0.45,-39.8,-50.13,-10.17,-150,3.08,3.23,1.75,110.17,302.71,66.23,93.21,42.61,-20.62,2.46
(주)광무,029480,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)광무,029480,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)광무,029480,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)광무,029480,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)광무,029480,2018/12,139.68,-22.19,0,0,-5.74,-7.48,28.9,-3.19,1.12,37.54,-4.66,1.41,11.12,0.81,0,0,22.99,-51.67,3.4,40.38,2.74,77.01,164.99,115.45,58.59,111.64,8.14,14.82
(주)광무,029480,2019/12,158.2,-17.6,122.08,0,-5.15,-4.67,38.16,-2.9,1.61,163.65,-2.98,3.25,9.9,0.8,127.19,58.11,40.05,-38.68,5.34,67.74,5.9,59.95,176.39,108.76,364.84,107.36,5.02,47.55
(주)구스앤홈,329050,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)구스앤홈,329050,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)구스앤홈,329050,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)구영테크,053270,2011/12,284.66,-0.44,4.74,0,2.88,3.77,57.36,0.96,3.31,38.93,2.84,22.99,20.19,1.01,10.21,-1.8,12.25,-1.4,6.64,9.81,1.82,87.75,308.02,56.43,557.79,41.77,-30.4,1.78
(주)구영테크,053270,2012/12,315.06,1.05,7.82,0,4.29,5.37,58.83,1.29,3.39,43.07,4.15,24.23,21.14,1,12.75,5.38,13.82,4.49,7.06,9.14,1.92,86.18,339.29,57.4,558.29,41.13,-30.55,4.5
(주)구영테크,053270,2013/12,228.35,1.26,-7.4,31.89,6.61,10.36,53.78,1.39,2.91,49.51,7.65,26.87,27.18,1.11,-19.07,10.89,12.89,5.74,8.4,9.43,2.08,87.11,282.41,60.26,593.8,40.24,-23.73,4.62
(주)구영테크,053270,2014/12,151.97,1.31,4.44,-0.13,4.24,6.97,48.29,1.38,2.18,47.84,4.63,20.89,26.25,1.12,6.37,-1.28,13.18,4.75,7.61,8.61,2.03,86.82,198.5,71.98,517.9,44.53,-14.26,4.84
(주)구영테크,053270,2015/12,122.04,2.42,3.51,94.33,6.02,9.87,46.66,1.97,1.74,51.32,6.42,17.39,27.54,1.09,3.01,0.91,14.79,7.74,7.54,8.27,1.96,85.21,186.04,85.48,559.89,56.69,-6.2,12.63
(주)구영테크,053270,2016/12,116.24,1.71,3.36,-36.92,12.34,16.79,45.27,1.65,1.41,46.74,10.97,14.98,24.69,0.9,-7.98,-13.82,15.19,4.64,7.26,7.49,1.58,84.81,188.59,80.61,574.43,51.13,-7.81,12.55
(주)구영테크,053270,2017/12,146.65,0.91,12.15,-43.82,8.27,9.45,50.83,2.37,1.48,44.88,6.63,15.14,20.27,0.85,18.47,1.03,15.17,2.61,8.56,7.51,1.46,84.83,235.08,78.36,555.59,53.8,-9.47,15.72
(주)구영테크,053270,2018/12,108.99,3.03,8.32,305.87,2.25,3.28,47.1,1.47,1.83,38.69,2.17,16.91,22.95,1,-5.29,30.3,11.4,9.65,11.07,7.55,1.63,88.6,194.32,80.98,515.4,38.86,-7.04,6.08
