회사명,거래소코드,회계년도,[제조]유동부채비율(IFRS),[제조]매출액순이익률(IFRS),[제조]총자본증가율(IFRS),[제조]순이익증가율(IFRS),[제조]CASH FLOW 대 매출액비율(IFRS),[제조]CASH FLOW 대 부채비율(IFRS),[제조]차입금의존도(IFRS),[제조]이자보상배율(이자비용)(IFRS),[제조]금융비용 대 총비용비율(IFRS),[제조]설비투자효율(IFRS),[제조]CASH FLOW 대 총자본비율(IFRS),[제조]자본금회전률(IFRS),[제조]총자본투자효율(IFRS),[제조]총자본회전률(IFRS),[제조]유동자산증가율(IFRS),[제조]매출액증가율(IFRS),[제조]매출액총이익률(IFRS),[제조]자기자본순이익률(IFRS),[제조]매출채권회전률(IFRS),[제조]재고자산회전률(IFRS),[제조]유형자산회전율(IFRS),[제조]매출원가 대 매출액비율(IFRS),[제조]부채비율(IFRS),[제조]유동비율(IFRS),[제조]자기자본배율(IFRS),[제조]당좌비율(IFRS),[제조]순운전자본비율(IFRS),[제조]현금비율(IFRS),[제조]타인자본회전률(IFRS),[제조]정상영업이익증가율(IFRS),[제조]총자본순이익률(IFRS)
(주)골프존뉴딘홀딩스,121440,2019/12,2.96,-112.81,-4.59,0,-3.3,-1.02,11.83,-9.01,-0.04,-24.75,-0.17,1.26,-3.22,0.05,-48.36,67.06,5.71,-6.49,13.61,0,0.35,94.29,19.43,230.61,2101.32,230.61,3.23,72.9,0.32,0,-5.51
(주)광림,014200,2019/12,207.96,-73.24,-18.11,0,1.01,0.71,41.18,1.37,0.5,-277.58,0.49,3.64,-33.88,0.43,-43.22,23.51,15.69,-75.18,16.33,4.84,3.9,84.31,218.64,65.36,229.58,50,-22.61,11.26,0.75,73.38,-31.77
(주)광무,029480,2019/12,146.5,-24.86,119.69,0,-6.85,-4.95,36.51,-2.36,2.41,184.12,-3.02,2.25,6.46,0.61,164.13,21.91,17.31,-39.35,3.9,65.66,5.1,82.69,157.44,102.18,364.84,100.69,1.24,43.08,0.98,0,-15.09
(주)구스앤홈,329050,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)구영테크,053270,2019/12,79.8,1.67,-3.73,-60.17,4,4.52,43.89,1.14,2.05,35.19,2.64,7.06,17,0.65,-13.06,13.68,14.34,2.67,5.67,9.38,1.3,85.66,140.39,80.14,444.56,59.76,-6.59,7.9,1.09,53.4,1.08
(주)국보디자인,066620,2019/12,72.2,4.01,22.26,-32.56,1.26,3.5,0.28,675.37,-0.86,741.02,1.52,63.21,31.35,1.32,32.91,2.58,10.94,8.82,106.82,0,30.71,89.06,76.45,210.04,2988.69,210.04,45.02,10.55,3.3,-37.27,5.29
(주)국순당,043650,2019/12,3.38,1.19,-5.07,-96.23,12.5,45.9,0.14,999999999,-4.51,31.39,2.86,5.38,6.78,0.22,-3.19,-8.8,35.82,0.29,7.34,4.51,0.93,64.18,6.64,915.46,2205.4,758.32,25.84,414.61,3.12,0,0.27
(주)국영지앤엠,006050,2019/12,23.24,1.49,13.79,0,1.83,8.45,6.81,15.75,-0.07,26.03,1.95,4.18,11.78,1.13,27.57,29.68,4.51,2.08,29.48,27.93,2.37,95.49,29.97,261.22,302.77,240.15,28.83,77.08,5.98,0,1.69
(주)국전약품,307750,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)그래디언트,035080,2019/12,3.87,47.31,-0.98,-6.35,66.13,35.91,3.64,11.08,-18.2,237.77,1.72,0.29,1.99,0.03,-92.22,-28.75,0,1.28,0,0,5.69,0,5.02,1.68,1052.19,1.68,-3.62,0.13,0.58,-36.47,1.22
(주)그리티,204020,2019/12,15.13,2.17,0.28,-56.36,2.35,23.75,6.4,14.33,-0.37,600.33,3.28,15.17,15.2,1.4,-9.33,3.36,55.01,3.53,24.78,3.82,87.59,44.99,16,605.87,713.12,317.55,66,3.42,9.89,-52.43,3.03
(주)그린플러스,186230,2019/12,36.41,6.17,16.26,10.06,1.84,3.67,28.64,4.73,1.78,64.06,1.29,19.03,19.53,0.75,41.66,-6.28,18.91,8.09,2.75,6.61,2.29,81.09,53.89,213.43,1524.62,169.79,26.84,35.39,1.76,-16.78,4.63
(주)글로벌스탠다드테크놀로지,083450,2019/12,32.37,11.29,38.23,119.77,6.71,33.11,1.83,526.27,-0.55,192.7,8.37,32.36,47.39,1.45,89.5,30.41,37.71,20.89,5.72,10.14,4.94,62.29,33.83,267.25,1940.45,206.31,40.45,59.79,6.63,178.66,16.33
(주)금빛,045890,2019/12,204.08,-70.4,-7.19,0,-13.9,-11.04,40.01,-4.23,4,-34.69,-7.55,3.41,-18.55,0.52,-25.14,9.61,13.72,-91.61,3.91,5.05,1.01,86.28,215.96,56.27,168.35,41.33,-28.25,5.31,0.87,0,-36.8
(주)금화피에스시,036190,2019/12,10.93,14.11,5.3,-33.77,10.17,66.51,0.08,7902.65,-2.78,682.92,7.14,59.73,46.91,0.72,-3.71,-11.34,20.97,11.52,9.06,0,10.25,79.03,12.03,610.76,7591.42,610.76,49.84,95.07,6.14,-22.94,10.16
(주)기가레인,049080,2019/12,222.59,-69.83,-34.46,0,-0.8,-0.58,52.92,-7.54,3.2,-52.83,-0.44,2.47,-19.06,0.43,-35.82,-44.74,-20.24,-93.37,1.98,2.49,1.31,120.24,314.3,96.86,106.69,72.36,-1.69,7.58,0.64,0,-30.32
(주)기산텔레콤,035460,2019/12,21.26,7.22,16.97,0,5.28,18.65,11.76,18.65,-1.23,66.16,4.03,4.19,9.81,0.82,-2.2,22.85,25.31,7.27,27.39,8.57,9.93,74.69,27.55,338.62,430.53,291.21,39.76,201.77,4.49,0,5.94
(주)까스텔바작,308100,2019/12,12.55,8.75,12.4,-37.38,8.16,58.56,0.89,297.78,-0.05,710.33,7.47,25.74,17.93,0.97,5.83,-11.97,61.51,10.09,16.52,2.25,36.87,38.49,14.62,682.17,2343.98,299.37,63.74,155.32,6.02,-36.94,8.47
(주)나노,187790,2019/12,49.77,1.24,9.59,0,10.13,15.55,20.88,1.2,2.43,39.46,5.33,3.1,8.01,0.55,25.52,12.22,13.06,1.03,9.65,4.5,2.46,86.94,52.14,111.98,372.07,73.6,3.92,28.87,1.63,76.43,0.68
(주)나노브릭,286750,2019/12,61.67,-9.81,35.72,0,-11.59,-8.66,27.14,-3.38,4.23,26.83,-3.67,1.96,13.2,0.36,144.47,8.2,24.44,-9.74,3.99,4.43,0.62,75.56,73.51,134.24,310.3,112.22,12.17,10.38,0.58,0,-3.58
(주)나노신소재,121600,2019/12,5.64,11.96,3.79,-22.82,16.15,98.67,1.32,43.65,-0.34,120.48,7.76,9.01,21.9,0.49,3.38,-6.42,39.51,6.41,4.73,1.26,2.37,60.49,8.53,1370.84,1728.83,656.65,66.01,199.77,5.67,-40.05,5.85
(주)나노엔텍,039860,2019/12,6.83,24.67,10.73,68.07,12.37,57.06,0.42,208.63,-0.32,106.99,6.14,1.9,26.73,0.52,17.07,0.92,44.11,14.77,1.82,4.39,1.92,55.89,12.07,988.69,340.05,801.85,54.13,308.81,4.05,10.75,12.87
(주)나무가,190510,2019/12,205.92,1.17,101.43,-68.91,-3.77,-9.66,10.88,2.48,0.28,365.59,-6.61,143.89,7.57,2.34,105.84,37.93,6.43,7.29,4.99,60.61,67.85,93.57,216.47,119.49,2592.74,110.81,12.68,6.43,3.75,-64.63,2.73
(주)나스미디어,089600,2019/12,107.62,23.8,21.99,20.69,30.18,16.09,2.6,85.52,-1.48,550.24,8.46,17.2,19.89,0.31,27.95,9.04,0,14.49,3.54,0,7.55,0,110.93,144.52,2908.28,144.52,22.71,8.77,0.62,20.87,7.33
(주)나이벡,138610,2019/12,15.9,-29.36,60.12,0,-17.09,-19.05,11.3,-2.23,3.01,23.24,-4.44,2.28,6.8,0.32,222.8,78.34,42.83,-14.36,4.16,3.1,0.88,57.17,30.4,391.85,553.45,312.53,35.59,103.38,0.93,0,-9.39
(주)나이스디앤비,130580,2019/12,26.3,18.09,18.44,16.04,19.03,69.9,3.33,664.39,-3.17,1029.81,15.81,6.53,55.68,0.9,23.09,19.24,0,20.73,8.93,0,24.47,0,29.22,301.32,608.28,301.32,40.98,50.13,4.22,14.37,16.3
(주)나인테크,267320,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)내츄럴엔도텍,168330,2019/12,9.58,-231.63,-20.54,0,-72.75,-17.53,55.03,-3.35,12.26,-27.44,-10.37,0.64,-16.98,0.13,-35.48,-25.61,-26.31,-57.6,7.63,1.82,0.23,126.31,144.92,839.18,183.29,714.49,28.91,95.01,0.26,0,-29.25
(주)네오리진,094860,2019/12,13.54,-24.19,-4.25,0,7.38,25.6,6.84,3.22,0.2,326.31,5.91,2.29,17.68,0.78,29.25,24.33,41.8,-24.12,4.12,12.74,17.19,58.2,30.03,542.67,213.62,502.04,46.1,300.57,3.66,0,-18.96
(주)네오셈,253590,2019/12,31.96,-6.87,0,0,-17.07,-17.96,30.88,-8.33,0.35,7.66,-7.08,6.75,1.51,0.41,0,0,46.01,-4.7,2.46,5.78,2.1,53.99,65.06,331,986.22,293.93,44.73,194.16,1.05,0,-2.85
(주)네오오토,212560,2019/12,43.29,2.11,-1.01,-56.92,14.98,28.75,28.41,0.84,0.65,26.61,12.58,30.08,17.3,0.84,8.09,2.77,7.7,3.18,8.4,14.89,1.2,92.3,77.75,115.42,2015.46,92.74,3.75,39.36,1.87,-67.18,1.76
(주)네오위즈,095660,2019/12,10.74,3.21,-1.3,0,11.72,59.28,0,468.7,-0.23,80.94,6.51,18.49,11.95,0.55,11.48,30.24,51.15,2,12.87,37843.36,4.95,48.85,12.34,260.76,2963.85,260.73,15.37,46.21,4.83,50.19,1.77
(주)네오위즈홀딩스,042420,2019/12,0.18,309.99,-0.21,0,24.27,34.39,0.12,17.48,-5.14,341097.95,0.15,0.4,2.51,0.01,-14.23,168.15,0,1.9,18.36,38.1,1648.28,0,0.43,19080.41,6541.85,19072.19,34.62,1520.63,0.92,0,1.88
(주)네오크레마,311390,2019/12,3.79,6.82,42.05,-64.65,8.22,19.14,12.22,4.09,0.99,26.21,3.31,9.81,12.27,0.47,34.29,-15.16,22.39,4.12,8.72,3.23,0.96,77.61,20.88,1417.24,1045.75,983.65,41.29,364.09,2.16,-76.21,3.22
(주)네오티스,085910,2019/12,75.11,3.22,0.3,-54.26,7.42,7.86,32.33,3.85,1.44,60.51,3.74,7.73,19.52,0.5,0.04,-5.82,18.23,3.06,3.05,8.5,1.57,81.77,90.69,110.37,804.79,96.23,4.08,33.7,1.08,-24.69,1.63
(주)네오팜,092730,2019/12,12.15,21.72,65.52,14.87,21.18,103.46,3.78,1359.89,-1.97,328.16,14.36,21.34,27.27,0.85,73.35,26,71.51,21.75,8.52,14.14,8.08,28.49,16.12,789.96,2586.39,749.63,72.17,37.32,5.44,19.19,18.36
(주)네오펙트,290660,2019/12,130.21,-327.08,6.11,0,-127.9,-25.12,39.93,-6.41,3.46,-108.53,-15.3,0.88,-28.41,0.12,-57.65,15,48.21,-66.63,1.41,5.13,0.66,51.79,155.72,48.28,287.2,44.07,-26.34,0.51,0.31,0,-40.28
(주)네온테크,306620,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,2019/12,8.1,-3.02,-7.45,0,-11.62,-73.37,0.03,-454.29,-1.91,148.23,-5.54,3.79,35.65,0.46,-7.81,-21.93,54.8,-1.54,8.79,35.41,1.93,45.2,8.16,959.85,734.8,955.93,64.37,448.85,4.39,0,-1.38
(주)네이처셀,007390,2019/12,10.8,3.91,76.09,-59.64,8.79,18.08,6,8.3,0.26,76.48,2.18,0.81,8.02,0.32,152.51,-13.64,55.92,1.44,9.3,7.28,2.27,44.08,13.7,632.29,267.65,596.79,50.54,240.15,2.2,43.46,1.24
(주)네패스,033640,2019/12,47.47,6.49,36.89,1.82,16.44,29.51,32.6,20.12,0.11,77.35,14.39,29.6,26.71,1.01,10.36,28.44,25.47,12.16,9.6,34.53,2.28,74.53,95.17,106.82,1729.4,93.41,1.66,33.46,2.2,86.55,6.57
(주)넥스턴바이오사이언스,089140,2019/12,4.4,17.75,-7.36,3.76,19.05,123.35,0.03,2394.07,-2.6,66.5,5.88,5.48,10.26,0.3,-24.89,21.75,23.4,5.89,4.79,2.41,2.55,76.6,5,1694.28,1690.94,1507.82,66.79,1230.9,2.82,-26.95,5.27
(주)넥스트아이,137940,2019/12,92.2,-36.56,2.47,0,-9.43,-4.83,43.51,-4.76,0.72,-8.19,-2.33,3.1,-0.75,0.25,18.79,-6.86,6.55,-16.02,5.71,21.43,2.66,93.45,93.52,87.57,647.43,85.42,-5.92,60.26,0.58,0,-9.16
(주)넥스트엔터테인먼트월드,160550,2019/12,73.92,-8.05,0.84,0,7.97,5.29,26.03,-1.09,0.98,7.96,2.46,4.69,2.32,0.31,-10.49,-25.29,19.48,-4.54,3.59,1406,1.08,80.52,86.93,94.45,813.3,94.39,-2.2,13.93,0.69,0,-2.49
(주)넥슨게임즈,225570,2019/12,29.4,-59.91,147.98,0,-38.36,-31.42,18.45,-30.19,0.53,171.41,-14.99,2.16,35.41,0.56,142.11,20.84,0,-60.09,4.55,0,3.38,0,91.2,478.25,264.58,478.25,58.17,79.68,1.25,0,-33.36
(주)넵튠,217270,2019/12,39.08,-283.61,-8.67,0,-13.54,-2.77,25.54,13.33,-1.64,-11939.35,-0.94,0.7,-21.35,0.07,-53.95,19.42,0,-28.45,7.18,0,30.84,0,51.55,32.42,638.12,32.42,-17.43,22.73,0.2,0,-18.83
(주)노랑풍선,104620,2019/12,101.99,-2.19,17.14,0,5.81,7.56,13.02,-4.02,-0.33,78.35,3.84,34.62,24.05,0.71,29.3,-18.01,0,-3.43,5.38,138.33,2.19,0,103.39,113.2,2365.97,111.3,6.62,30.59,1.31,0,-1.56
(주)노바렉스,194700,2019/12,41.46,9.39,45.15,42.5,2.53,6.47,13.91,422.07,-0.11,95.68,2.59,35.34,28.91,1.21,26.56,48.26,17.96,17.17,8.37,8.2,3.56,82.04,66.59,205.97,2077.05,139.94,26.37,75.91,3.57,38.56,11.35
(주)노바텍,285490,2019/12,3.47,21.93,36.19,-19.14,24.14,250.64,0.16,1312.88,-1.18,1679.46,13.49,10.3,20.16,0.64,-8.29,-3.99,36.21,14.91,16.86,15.06,49.85,63.79,5.69,1700.62,1676,1573.62,52.53,259.2,12.46,-33.71,14.14
(주)노블엠앤비,106520,2019/12,100.47,-18.54,5.05,0,3.23,4.13,24.84,1.22,4.23,22.39,2.23,1.82,3.56,0.71,24.75,9.96,18.3,-33.13,10.99,7.26,3.82,81.7,116.93,75.18,94.4,46.94,-11.49,4.88,1.17,0,-13.11
(주)노터스,278650,2019/12,27.13,11.54,39.76,19.47,12.22,23.25,13.14,9.12,1.6,48.42,6.85,48.14,18.96,0.65,87.35,25,0,12.31,11.34,164.21,1.59,0,41.78,234.18,5579.11,232.03,25.68,38.56,1.69,7.15,7.54
(주)녹십자셀,031390,2019/12,57.54,30.05,22.33,-21.51,15.07,7.93,38.87,3.82,2.4,55.95,3.54,5.96,16.12,0.26,9.24,27.66,55.57,14.24,5.96,20.36,0.51,44.43,80.89,87.86,1385.82,83.65,-3.86,0.65,0.57,36.96,7.78
(주)녹십자엠에스,142280,2019/12,61.61,-17.72,40.86,0,-2.55,-6.67,13.82,-4.98,0.72,-193.21,-2.8,12.27,-5.92,1.28,14.24,8.99,9.51,-50.63,4.02,9.95,4.43,90.49,72.19,155.69,472.48,125.81,19.93,28.13,2.32,0,-22.7
(주)녹십자웰빙,234690,2019/12,17.83,8.51,173.82,0.38,8.11,23.06,7.43,116.86,0,478.57,5.09,8.66,22.31,0.92,246.95,24.23,53.89,10.18,5.71,6.45,11,46.11,28.31,541.7,936.99,466.25,61.39,82.32,3.98,-9.33,7.82
(주)녹원씨엔아이,065560,2019/12,39.19,-28.78,-17.11,0,12.65,14.95,26.19,3.02,10.51,0.78,4.29,3.94,0.1,0.31,-38.35,-4.99,53.12,-12.8,2.76,8.65,2.45,46.88,40.22,112.03,806.31,99.09,3.36,12.52,1,-27.88,-8.85
(주)누리플랜,069140,2019/12,87.98,-10.69,28.58,0,-2.23,-2.48,40.21,-1.57,3.34,37.82,-1.38,12.89,8.47,0.7,0.92,3.52,17.52,-15.4,8.77,92.52,2.7,82.48,125.74,61.04,863.14,59.19,-15.18,9.41,1.34,0,-7.43
(주)누리플렉스,040160,2019/12,67.55,8.78,0.74,-15.82,10,21.01,20.87,9.89,0.92,164.18,8.68,16.6,19.53,0.87,1.74,-31.53,33.15,13.72,4.28,4.86,7.65,66.85,70.37,136.9,1122.95,99.22,14.63,25.75,1.97,-31.81,7.65
(주)누보,332290,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)뉴로스,126870,2019/12,138.09,-52.17,8.54,0,-0.75,-0.44,45.14,-3.23,1.51,-69.98,-0.26,4.84,-10.51,0.35,21.54,13.99,24.82,-43.74,1.7,2.69,2.03,75.18,141.41,118.16,546.28,97.7,10.39,39.9,0.62,0,-18.51
(주)뉴보텍,060260,2019/12,53.29,4.32,52.56,0,4.24,9.53,16.82,4.51,0.41,67.9,3.83,2.77,21.53,1.09,7.44,4.49,28.52,7.78,4.63,11.7,3.58,71.48,67.34,152.44,165.27,125.92,16.7,23.92,2.77,414.85,4.71
(주)뉴인텍,012340,2019/12,57.18,-2.31,15.62,0,2.28,5.43,20.51,1.42,1.43,57.09,2.31,2.26,20.63,1.09,51.23,6.05,10.1,-5.35,6.69,8.56,2.69,89.9,74.14,139.64,179.22,103.83,13.01,45.35,2.06,0,-2.52
(주)뉴트리,270870,2019/12,22.12,8.71,22.98,366.4,6.06,53.57,0.61,920,-0.49,1072.33,10.06,26.59,28.4,1.83,0.68,38.75,75.63,19.41,16.04,17.96,38.04,24.37,23.13,376.79,1299.52,315.21,49.73,180.12,10.25,29.46,15.94
(주)뉴파워프라즈마,144960,2019/12,9.31,10.18,5.05,-55.01,9.74,39.92,2.91,42.22,-1.24,60.31,3.89,14.6,14.9,0.41,-12.88,-18.01,41.7,4.61,5.73,8.03,1.45,58.3,10.8,474.14,3297.97,406.16,31.45,32.59,4.26,-63.08,4.17
(주)뉴프렉스,085670,2019/12,98.09,-4.2,-7.95,0,4.68,9.96,35.93,-4.44,0.96,32.01,5.5,12.99,14.23,1.13,-8.68,-29.76,0.51,-10.32,7.03,7.13,2.52,99.49,123.32,105.52,494.43,74.07,2.43,9.41,2.08,0,-4.74
(주)다나와,119860,2019/12,9.89,23.47,20.43,27.94,21.66,172.1,1.37,463.8,-2.12,1018.82,17.07,14.46,32.32,0.86,35.29,39.01,0,22.44,19.84,34.04,33.6,0,11.01,782.92,1652.35,740.85,60.86,174.99,8.69,20.32,20.22
(주)다날,064260,2019/12,63.1,18.6,14.69,165.66,-5.84,-3.45,40.38,5.16,2.45,2110.73,-1.98,5.63,9.73,0.36,14.9,10.92,0,16.2,6.78,192796.94,64.12,0,134.98,304.78,664.22,304.78,54.99,26.19,0.62,12.31,6.74
(주)다보링크,340360,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)다산네트웍스,039560,2019/12,22.03,6.49,6.63,0,3.77,3.38,21.69,3.85,0.19,44.94,1.05,4.22,4.25,0.29,17.29,89.44,28.53,2.81,3.73,20.55,2.92,71.47,44.97,155.6,1004.29,151.51,8.45,24.84,0.85,348.6,1.86
(주)다우데이타,032190,2019/12,97.06,6,24.22,10.16,5.25,4.6,38.99,3.4,-2.36,2198.66,2.63,10.09,6.65,0.56,41.93,14.92,15.05,7.13,8.39,46.54,122.76,84.95,133.59,102.29,861.99,100.75,0.95,48.9,1.04,8.02,3.33
(주)다원시스,068240,2019/12,108.91,6.74,53.78,-5.02,49.4,27.69,21.5,4.04,1.47,61.76,16.14,12.79,9.12,0.4,90.05,33.08,22.68,5.5,2.75,5.41,1.39,77.32,139.77,112.55,1606.96,104.09,5.7,50.35,0.77,0.29,2.67
(주)대동스틸,048470,2019/12,19.75,0.28,6.35,567.55,1.94,12.75,5.16,-16.84,-0.48,38.35,2.8,22.66,5.25,1.49,9.62,11.57,3.77,0.51,5.17,6.69,10.35,96.23,28.15,481.67,1222.27,323.56,58.83,81.16,7.77,0,0.41
(주)대륙제관,004780,2019/12,34.06,2.72,4.3,47.75,6.26,24.39,9.97,19.49,0.1,82.16,7.84,24.81,26.6,1.28,7.68,0.48,11.47,5.1,5.51,7.19,3.64,88.53,47.39,248.51,1343.79,177.27,34.32,67.46,4.03,48.65,3.48
(주)대림제지,017650,2019/12,22.85,2.37,1.69,-71.45,13.81,19.27,21.57,4.6,1.12,15.22,6.38,23.53,9.52,0.47,49.72,18.23,14.53,1.68,6.99,24.63,0.73,85.47,49.48,122.71,3409.67,111.72,3.47,36.66,1.35,-31.59,1.1
(주)대명소노시즌,007720,2019/12,44.29,37.29,76.58,0,2.96,8.3,13.75,2.81,-0.18,5051.65,2.65,4.34,50.91,1.14,164.31,1.98,17.42,64.54,8.43,21.33,87.98,82.58,46.91,272.85,329.99,255.15,52.12,209.38,3.36,-3.32,42.59
(주)대성미생물연구소,036480,2019/12,10.86,9.83,33.94,-22.05,10.85,16.71,23.21,228.76,-0.85,91.07,5.34,13.23,21.75,0.56,8.87,0.15,33.59,7.3,7.55,2.92,1.43,66.41,46.99,664.31,1827.13,418.48,41.68,218.93,2.35,-0.85,5.55
(주)대성엘텍,025440,2019/12,153.09,-3.27,-1.65,0,0.9,5.01,36.66,-5.9,0.37,44.67,3.29,7.31,19.65,3.63,-6.11,7.63,0.97,-31.94,22.72,17.39,8.66,99.03,191.59,83.23,68.49,40.95,-8.8,1,5.77,0,-11.86
(주)대성파인텍,104040,2019/12,40.58,0.53,-1.21,-92.99,5.22,5.07,34.44,0.35,1.83,21.79,2.16,11.98,11.94,0.41,-14.59,-2.82,12.72,0.39,3.75,5.47,0.7,87.28,74.45,116.13,1656.29,87.09,3.75,38.3,0.96,-54.69,0.22
(주)대원,007680,2019/12,30.56,5.59,2.61,-73.75,-21.51,-21.8,15.19,7.91,-0.98,185.15,-7.78,27.75,6.68,0.37,-14.03,-51.97,16.31,3.17,162.43,4.36,10.15,83.69,55.45,311.11,4930.75,288.1,41.5,62.77,1.04,-63.45,2.05
(주)대유,290380,2019/12,4.76,16.55,6.51,-18.9,17.37,56.91,0.8,303.7,-2.22,138.65,7.13,6.56,21,0.42,1.29,3.24,62.32,7.91,15.64,3.94,2.43,37.68,14.31,1820.34,1398.34,1571.07,71.64,228.11,3.68,-24.27,7
(주)대유에이피,290120,2019/12,134.61,4.49,0,0,-4.09,-9.05,26.56,11.25,0.34,121.99,-5.48,28.6,23.73,1.34,0,0,12.26,15.3,7.43,14.95,6.53,87.74,153.9,95.39,839.96,78.48,-2.44,7.17,2.21,0,6.03
(주)대창솔루션,096350,2019/12,75.18,-6.87,0.57,0,-12.12,-9.19,39.84,0.07,4.47,14.64,-4.6,3.6,9.34,0.38,9.69,50.29,9.86,-6.04,4.63,4.56,0.58,90.14,100.31,83.25,396.41,61.11,-6.29,10.32,0.67,0,-2.61
(주)대창스틸,140520,2019/12,137.95,-0.92,2.57,0,5.86,8.51,50.33,1.1,1.66,22.81,5.07,19.77,5.79,0.88,-13.21,-13.44,6.34,-1.93,4.48,6.84,3.1,93.66,147.63,62.64,922.04,39.06,-20.81,3.51,1.5,49.24,-0.81
(주)대한과학,131220,2019/12,22.82,1.17,9.97,-63.93,4.2,19.94,1.98,32.89,-0.28,58.24,4.53,10.38,22.7,1.13,9.66,13.81,23.03,1.68,10.07,3.38,2.94,76.97,29.39,292.03,743.33,101.75,33.86,22.11,5.21,-9.77,1.32
