회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),정상영업이익증가율(IFRS연결),총자본순이익률(IFRS연결)
(주)골프존뉴딘홀딩스,121440,17-Dec,24.1,-10.1,-0.56,-636.22,3.44,2.88,27.5,2.81,2.29,5.95,0.97,9.98,3.08,0.28,14.69,-12.13,47.15,-4.2,40,5.76,0.54,52.85,51.02,97.2,2338.7,63.78,-0.45,39.77,0.88,-50.22,-2.85
(주)광림,14200,17-Dec,68.22,-17.46,-9.38,0,-4.42,-5.96,31.48,-3.19,2.23,17.01,-2.87,5.58,4.75,0.62,-11.28,54.85,2.98,-15.47,8.29,5.6,2.09,97.02,93.2,106.4,386.08,76.78,2.26,43.08,1.25,-7301.04,-10.79
(주)광무,29480,17-Dec,100.03,-15.56,-0.48,0,0.93,1.31,14.42,0.32,2.12,56.08,0.69,1.58,15.02,0.74,25.69,-18.5,18.74,-31.04,4,47.72,2.73,81.26,113.62,110.28,84.96,108.89,4.82,7.17,1.18,-84.58,-11.55
(주)구영테크,53270,17-Dec,146.65,0.91,12.15,-43.82,8.27,9.45,50.83,2.37,1.48,44.88,6.63,15.14,20.27,0.85,18.47,1.03,15.17,2.61,8.56,7.51,1.46,84.83,235.08,78.36,555.59,53.8,-9.47,15.72,1.25,31.21,0.77
(주)국보디자인,66620,17-Dec,62.05,4.93,3.74,24.24,5.61,23.35,0,3543.84,-0.57,1017.16,9.25,72.18,46.62,1.68,5.15,34.38,16.98,14.33,402.51,0,36.13,83.02,65.57,220.15,2647.57,220.15,45.03,43.1,3.96,120.76,8.26
(주)국순당,43650,17-Dec,5.52,15.44,13.71,0,-1.82,-5.52,0.48,-12.28,-2.28,53.49,-0.47,7.03,12.82,0.28,1.63,-9.96,37.88,4.88,7.28,4.3,1.02,62.12,9.33,708.73,2433.16,591.98,30.73,295.3,3.17,0,4.26
(주)국영지앤엠,6050,17-Dec,21.36,2.28,0.65,271.36,-2.43,-11.33,4.16,17.57,-0.06,30.51,-2.31,3.64,14.66,0.95,1.42,22.16,5.03,2.78,16.26,17.33,1.98,94.97,25.64,266.88,301.54,238.44,28.37,64.83,4.4,466.79,2.17
(주)그래디언트,35080,17-Dec,131.53,-1.8,-12.97,0,4.24,14.15,3.48,13.33,-0.05,291.89,8.33,116.42,9.5,1.83,-13.12,-7.91,10.89,-20.37,5.08,27.68,60.89,89.11,143.09,125.96,1039.09,111.83,14.05,13.71,3.09,-39.77,-3.28
(주)글로벌스탠다드테크놀로지,83450,17-Dec,27.73,9.68,14.53,278.16,5.57,37.61,3.91,212.37,-0.02,170.14,8.86,34.95,54.44,1.7,7.6,79.3,34.43,23.25,11.73,7.1,5.38,65.57,30.82,266.78,1587.44,161.51,35.36,87.97,6.17,356.36,16.43
(주)금빛,45890,17-Dec,88.33,-7.4,-0.97,-304,2.57,2.89,40.85,0.03,2.47,41.76,1.71,5.57,15.17,0.66,19.48,-3.64,25.85,-11.04,4.07,3.83,1.8,74.15,144.41,135.38,340.41,83.6,12.78,9.98,1.19,-98.58,-4.9
(주)금화피에스시,36190,17-Dec,22.48,9.79,7.72,-15.48,19.14,83.07,1.27,539.47,-1.12,439.51,17,68.59,48.16,0.92,9.23,-12.44,20.75,11.48,5.86,220.32,7.92,79.25,25.74,381.74,6130.28,379.24,50.37,56.22,4.39,13.58,9.02
(주)기가레인,49080,17-Dec,87.49,-0.92,16.63,0,-2.4,-2.58,36.97,1.96,2.36,36.36,-1.32,6.04,13.02,0.59,56.78,32.72,17.39,-1.88,6.21,6.24,1.43,82.61,104.84,93.25,358.31,61.93,-2.88,9.53,1.05,0,-0.55
(주)기산텔레콤,35460,17-Dec,72.01,-8.73,-5.49,0,-1.16,-2.09,0,-6.37,0.38,264.18,-1.05,8.71,7.55,0.88,-7.29,7.26,14.33,-13.79,3.24,3.29,28.83,85.67,100.44,231.57,444.91,147.39,47.27,61.54,1.83,0,-7.67
(주)나노,187790,17-Dec,84.22,0.12,9.75,0,-1.05,-1.64,33.67,0.96,2.28,29.51,-0.84,21.34,13.49,0.84,24.86,51.72,14.18,-0.15,6.79,3.96,1.58,85.82,103.94,113.23,907.76,57.73,5.47,12.68,1.53,0,0.1
(주)나노신소재,121600,17-Dec,4.73,14.98,5.61,14.95,17.72,133.43,1.51,114.62,-0.03,116.98,9.07,8.4,24.17,0.53,-1.29,10.84,45.42,8.51,4.36,1.5,2.36,54.58,7.3,1573.4,1528.59,783.43,64.93,166.55,7.18,35.52,7.88
(주)나노엔텍,39860,17-Dec,69.31,-8.7,-7.3,0,-2.76,-3.53,29.6,3.38,1.72,54.33,-1.55,1.95,17.91,0.54,3.25,7.22,43.61,-8.41,3.92,3.82,1.61,56.39,78.54,137.62,193.97,101.73,14.61,59.37,1.23,0,-4.71
(주)나무가,190510,17-Dec,306.66,-15.89,-27.31,0,-6.53,-15.03,41.4,-18.62,0.48,-4.61,-11.81,135.63,-1.51,1.52,-38.05,-11.98,-4.77,-79.31,11.57,9.65,4.51,104.77,365.56,88.79,1610.05,60.56,-7.39,19.52,2.18,0,-24.19
(주)나스미디어,89600,17-Dec,134.32,22.18,19.72,107.87,13.22,8.45,0.95,147.4,-0.43,699.91,5.03,26.39,25.99,0.41,28.25,71.96,0,22.56,3.35,0,10.11,0,147.29,140.61,2623.74,140.61,22.06,10.08,0.69,122.23,9.2
(주)나이벡,138610,17-Dec,46.03,-40.74,12.11,0,1.52,0.71,36.47,-1.81,6.84,16.91,0.37,2.2,6.46,0.26,13.07,31.19,31.03,-23.13,3.64,3.04,0.66,68.97,108.31,175.61,411.34,133.25,16.71,92.73,0.48,0,-10.54
(주)나이스디앤비,130580,17-Dec,21.11,15.17,15.97,13.67,17.11,86.21,0,999999999,-1.36,2451.95,15.42,5.49,57.81,0.97,-4.07,24.49,0,17.75,11.94,21479.78,40.8,0,21.78,355.01,500.47,354.98,44.21,112.41,5.59,30.76,14.68
(주)나인테크,267320,17-Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)내츄럴엔도텍,168330,17-Dec,9.98,-95.91,-0.22,0,-139.61,-41.66,29.99,-1.96,13.38,-0.5,-15.05,0.93,-0.21,0.11,-15.25,40.92,36.03,-18.67,6.4,1.16,0.27,63.97,56.59,770.01,470.76,595.58,42.69,118.17,0.27,0,-10.33
(주)네오리진,94860,17-Dec,15.15,1.79,0,0,-1.58,-4.67,3.55,2.48,0.22,791.25,-0.83,1.94,29.7,0.52,0,0,55.59,1.14,2.85,8.09,13.96,44.41,21.57,356.33,305.25,304.35,31.95,150.11,2.95,0,0.94
(주)네오오토,212560,17-Dec,50.22,3.22,1.67,-47.54,13.47,26.74,33.97,1.7,0.67,33.92,12.6,39.09,21.82,0.94,7.3,-8.75,6.67,5.84,11.05,17.64,1.35,93.33,89.09,102.3,1841.52,80.85,0.61,27.08,1.97,-84.02,3.04
(주)네오위즈,95660,17-Dec,12.37,-1.23,-4.12,-114.84,11.35,49.89,0.03,81.79,-1.05,1074.95,6.49,15.88,21.72,0.56,-3.98,-8.9,47.18,-0.57,8.1,22241.58,31.51,52.82,14.96,576.68,2425.79,576.64,51.27,194.38,4.05,-53.68,-0.69
(주)네오위즈홀딩스,42420,17-Dec,7.32,-3.68,-1.61,0,6.88,26.3,0.17,58.57,-2.59,1054.86,2.43,39.73,12.82,0.35,-0.59,-8.35,46.74,-1.77,8.03,2963,31.49,53.26,10.16,962.04,6255.12,961.85,57.31,205.83,3.6,-52.47,-1.29
(주)네오티스,85910,17-Dec,63.72,-16.68,-4.54,0,11.06,13.76,23.66,7.31,0.19,34.16,5.93,7.89,12.3,0.52,-5.04,8.24,21.14,-14.48,3.26,9.07,1.46,78.86,75.84,107.57,822.16,92.11,2.74,22.86,1.37,29.06,-8.74
(주)네오팜,92730,17-Dec,18.95,21.55,21.9,49.3,18.46,108.65,0.11,999999999,-1.05,271.1,17.46,14.38,40.47,1.04,30.68,26.59,74.85,26.83,9.26,11.92,6.11,25.15,19.15,488.6,1275.44,434.88,61.79,47.08,6.29,46.95,22.4
(주)네이블커뮤니케이션즈,153460,17-Dec,15.66,-47.02,-18.84,0,-3.57,-11.5,0,999999999,-1.28,88.39,-1.56,4.13,20.02,0.39,-22.77,-37.6,39.6,-21.21,3.73,13.13,1.86,60.4,15.66,530.53,817.93,496.82,58.28,260.15,2.93,0,-18.38
(주)네이처셀,7390,17-Dec,24.46,-1.69,-2.33,0,2.45,5.58,7.99,-0.81,1.06,66.03,1.3,1.05,14.26,0.52,15.66,1.6,28.01,-1.25,8.62,5.24,2.48,71.99,30.29,211.86,149.46,162.93,21,93.66,1.78,0,-0.89
(주)네패스,33640,17-Dec,87.86,1.38,3.19,-64.13,18.25,27.78,38.63,3.32,1.8,69.26,16.89,25.79,34.59,0.94,4,11.98,21.79,5.05,8.99,31.15,1.84,78.21,154.91,98.06,1183.3,89.63,-0.67,45.16,1.54,134.22,1.3
(주)넥스턴바이오사이언스,89140,17-Dec,3.08,15.51,-3.84,-60.52,23.27,340.39,0,1532.55,-2.25,122.72,10.73,7.38,11.76,0.45,-11.69,-41.23,31.01,7.46,4.99,6.83,4.97,68.99,3.26,2781.54,1549.23,2581.81,80.02,1444.37,7.52,-47.77,7.01
(주)넥스트아이,137940,17-Dec,38.5,-4.54,40.52,-174.93,1.36,1.27,34.85,0.84,1.52,81.3,0.58,8.97,9.06,0.5,33.72,50.82,31.95,-2.85,6.23,15.83,4.15,68.05,84.57,303.29,953.4,284.14,42.4,100.53,1.22,-65.09,-2.27
(주)넥스트엔터테인먼트월드,160550,17-Dec,70.42,-7.89,11.25,-279.04,-9.29,-6.99,18.06,-6.92,-0.34,20.96,-3.42,6.9,3.81,0.39,0.8,-24.8,22.16,-5.98,3.33,2860.36,1.97,77.84,96.16,165.57,931.85,165.5,23.54,40.88,0.86,-177.64,-3.06
(주)넥슨게임즈,225570,17-Dec,18.01,-13.72,0,0,40.34,67.06,2.04,-62.24,-1.03,1705.5,21.03,1.95,39.81,0.52,0,0,0,-10.42,10.04,0,22.33,0,45.69,672.39,256.35,672.39,70.75,611.01,1.66,0,-7.15
(주)넵튠,217270,17-Dec,8.17,156.32,130.32,0,-9.99,-7.37,8.44,-51.27,0.22,6980.3,-1.86,2.24,53.93,0.26,5.86,11.96,0,54.16,9.05,20800.1,28.02,0,33.76,183.23,892.85,183.2,5.08,99.03,1.12,0,40.58
(주)노블엠앤비,106520,17-Dec,71.4,-43.25,-4.76,0,-25.05,-26.22,33.09,-4.91,3.43,-7.5,-12.79,4.39,-2.39,0.5,4.46,-5.26,-2.48,-41.36,4.9,6.19,1.54,102.48,95.18,69.8,331.07,46.85,-11.05,11.27,1.06,0,-21.54
(주)녹십자셀,31390,17-Dec,41.3,3.67,173.07,-46.16,28.08,7.59,50.69,17.72,0.06,83.69,4.56,3.34,8.53,0.24,371.05,64.06,47.34,1.6,7.4,19.31,0.72,52.66,150.02,333.42,823.52,326.62,38.56,2.43,0.52,89.92,0.87
(주)녹십자엠에스,142280,17-Dec,100.61,-2.38,-3.21,0,6.79,19.55,16.57,0.26,0.5,114.98,10.85,20.58,20.1,1.57,0.45,14.19,15.66,-8.08,4.14,7.18,8.4,84.34,124.55,150.72,507.44,101.89,22.72,12.12,2.92,0,-3.75
(주)녹원씨엔아이,65560,17-Dec,131.36,1.94,922.64,0,16.54,5.59,45.44,2.53,12.7,88.19,3.2,2.34,8.89,0.35,1591.63,469.56,63.14,1.46,3.89,9.56,3.8,36.86,134.3,100.93,919.88,94.25,0.52,12.36,0.66,0,0.68
(주)누리플랜,69140,17-Dec,82.84,-0.04,0,0,0.98,1.91,14.17,1.71,0.62,35.93,0.89,14.99,11.38,0.91,0,0,20.53,0.14,4.12,50.48,2.87,79.47,87.03,123.46,877.85,119.39,10.39,28.98,1.96,0,-0.04
(주)누리플렉스,40160,17-Dec,147.99,-4.97,71.74,-190,4.13,5.35,25.37,1.9,0.77,47.88,3.47,19.5,8.83,1.06,97.67,129.05,25.42,-11.22,4.24,8.19,5.01,74.58,184.59,118.06,815.56,83.49,9.39,20.13,2,-73.59,-5.27
(주)뉴로스,126870,17-Dec,95.51,-12.36,19.75,-608.77,2.83,1.78,43.07,0.89,4.52,22.01,1.02,5.93,6.43,0.39,18.46,1.53,31.87,-10.83,1.52,2.29,1.17,68.13,135.5,143.02,656.22,103.09,17.45,15.93,0.72,38.47,-4.88
(주)뉴보텍,60260,17-Dec,78.58,-2.32,-1.26,0,-1.59,-4.54,21.07,-4.56,0.3,82.58,-2.12,3.33,21.55,1.32,-3.93,14.27,25.72,-5.67,5.33,15.47,5.13,74.28,87.38,160.71,133.98,141.75,25.46,9.39,2.86,0,-3.06
(주)뉴인텍,12340,17-Dec,150.58,-7.1,-1.5,0,-0.36,-0.62,38.37,-1.93,1.51,46.92,-0.41,2.05,20.07,1.14,-3.13,5.01,8.12,-21.12,5.35,6.49,2.55,91.88,197.74,94.2,60.03,59.34,-2.94,6.43,1.84,0,-8.08
(주)뉴파워프라즈마,144960,17-Dec,15.82,17.77,10.36,68.72,18.05,91.88,2.85,135.62,-0.67,109.79,13.42,25.55,31.08,0.78,2.28,55.02,49.3,16.91,11.43,9.18,2.9,50.7,17.11,431.28,2908.61,382.94,44.75,19.6,4.34,81.33,13.87
(주)뉴프렉스,85670,17-Dec,115.37,2.82,11.04,0,8,16.87,35.31,5.58,0.82,64.91,10.27,23.71,30.04,1.35,16.12,5.16,11.28,9.39,8.38,5.55,2.76,88.72,155.7,106.27,673.88,52.52,2.83,7.67,2.19,692.78,3.82
(주)다나와,119860,17-Dec,19.25,12.56,26.98,51.23,11.97,80.63,1.26,188.63,-0.97,487.39,13.87,21.85,30.58,1.3,26.64,67.07,0,19.03,14.07,42.18,29.7,0,20.77,452.75,1175.47,428.64,56.22,117.27,9,78.63,16.29
(주)다날,64260,17-Dec,137.48,6.18,21.07,0,-26.8,-16.14,32.71,6.12,0.53,898.36,-9.87,7.57,8.69,0.4,23.28,29.52,0,7.49,5.55,80.07,51.32,0,157.45,152.85,753.5,152.18,28.22,19.35,0.65,230.2,2.49
(주)다산네트웍스,39560,17-Dec,97.58,-0.81,-6.92,0,-1.62,-2.73,20.63,0.01,0.89,135.7,-1.44,23.63,16.63,0.86,-5.65,37.81,34.16,-1.3,4.15,7.43,5.88,65.84,111.4,128.82,935.33,107.32,13.3,19.04,1.51,0,-0.7
(주)다우데이타,32190,17-Dec,267.39,14.61,33.29,68.78,-36.71,-5.16,28.68,49.39,0.28,242.21,-4.37,84.3,4.49,0.14,36.12,17.12,42.13,7.9,27.64,220.58,6.18,57.87,553.47,210.16,2469.36,209.99,45.08,4.71,0.16,33.85,1.99
(주)다원시스,68240,17-Dec,58.47,4.84,47.43,-10.24,-19.4,-12.59,37.09,2.55,2.69,35.2,-6.16,9.22,10.14,0.38,24.24,50.23,32.58,4.08,1.55,15.84,1.38,67.42,95.9,163.71,1429.14,154.08,19.02,16.61,0.82,-4.43,1.83
(주)대동스틸,48470,17-Dec,20.86,6.8,26.56,42.25,-0.93,-5.81,0,1421.75,-0.65,102.08,-1.07,18.1,14.48,1.27,44.57,32.75,10.3,9.97,4.33,5.6,7.93,89.7,22.46,403.62,1296.3,262.87,51.72,55.65,9.66,27.01,8.66
(주)대륙제관,4780,17-Dec,42.68,4.88,3.99,-33.72,9.81,35.61,10.78,25.39,0.17,99.48,12.53,24.79,28.75,1.3,2.51,5.85,13.18,9.95,5.66,7.57,3.77,86.82,54.29,207.34,1258.3,145.39,29.69,44.36,3.6,-31.47,6.35
(주)대림제지,17650,17-Dec,51.03,2.76,0,0,4.41,4.8,28.52,13.52,0.24,14.27,2.18,26.23,8.21,0.49,0,0,11.67,2.5,4.25,21.07,0.72,88.33,83.36,73.34,2893.67,64.91,-7.42,21.25,1.09,0,1.36
(주)대명소노시즌,7720,17-Dec,96.35,7.48,181.18,0,3.54,2.96,21.35,1.44,1.82,17.29,1.99,4.67,12.87,0.83,-31.79,8.31,18.26,10.98,9.85,24.42,1.49,81.74,206.03,58.09,211.21,48.07,-13.19,7.5,1.41,2968.42,6.21
(주)대성미생물연구소,36480,17-Dec,10.16,6.48,-2.32,-65.35,10.82,57.98,3.45,77.35,-0.33,76.5,7.48,12.65,28.39,0.68,-6.82,-21.94,30.06,5.25,6.91,3.63,1.86,69.94,14.81,622.51,1594.55,402.14,46.26,170.39,4.34,-59.69,4.43
(주)대성엘텍,25440,17-Dec,115.4,-1.17,-8.76,-364.97,2.95,17.22,29.38,1.5,0.38,75.28,9.68,7.07,30.33,3.13,-9.09,-4.4,4.26,-8.52,13.25,17.33,7.92,95.74,128.33,99.05,94.29,61.96,-0.48,5.8,5.48,-63.88,-3.65
(주)대성파인텍,104040,17-Dec,45.27,4.94,29.21,-45.76,13.43,14.99,33,5.57,1.14,29.52,6.63,14.53,15.73,0.56,-8.45,-9.32,20.61,4.75,3.32,7.3,1.08,79.39,79.36,146.16,1556.81,116.9,11.65,50.83,1.34,-33.46,2.75
(주)대원,7680,17-Dec,52.22,8.14,-0.14,-39.84,7.05,12.1,9.37,82.37,-0.45,200.07,4.76,55.09,13.96,0.67,7.52,8.39,14.38,9.93,147.66,2.81,9.84,85.62,64.77,242.32,4361.55,161.76,45.1,86.79,1.61,37.29,5.49
(주)대창솔루션,96350,17-Dec,109.27,-26.48,-6.28,0,-6.15,-3.24,47.84,-2.64,5.42,6.12,-1.92,5.82,4.66,0.3,-19.86,-13.28,-2.23,-19.8,4.71,3.03,0.4,102.23,144.26,38.99,617.27,16,-27.29,1.09,0.51,0,-7.98
(주)대창스틸,140520,17-Dec,99.74,0.59,4.16,0,-1.58,-2.83,43.01,1.27,1.38,16.85,-1.64,36.81,6.78,1.06,11.06,5.09,4.81,1.65,4.57,5.86,2.54,95.19,137.6,107.71,1111.81,59.06,3.24,0.98,1.81,0,0.63
(주)대한과학,131220,17-Dec,33.42,3.25,-9.47,-44.2,10.52,40.05,3.79,20.22,0.21,84.19,11.8,11.56,27.5,1.07,-11.44,-10.21,28.55,4.3,6.59,2.97,3.37,71.45,41.75,267.06,670.88,108.24,39.39,15.63,3.12,17.8,3.47
(주)대호특수강,21040,17-Dec,105.64,1.96,7,-28.38,6.1,15.28,34.64,4.74,1.07,63.93,8.29,6.24,20.67,1.4,10.79,10.57,10.13,7.3,4.04,7.95,4.44,89.87,118.79,113.14,178.52,73.52,6.34,2.27,2.25,-13.99,2.75
(주)더 미동,161570,17-Dec,5.93,-12.72,-11.96,0,-14.37,-153.45,0,-171.6,-2.59,-1588.59,-8.6,4.08,-3.29,0.56,-14.44,-2.48,9.1,-7.64,8.78,41,161.39,90.9,5.93,1382.25,644.2,1370.63,71.84,878,8.4,0,-7.13
(주)더블유게임즈,192080,17-Dec,75.97,11.16,128.21,-27.59,21.4,11.53,55.08,3.97,6.07,5547.41,6.85,36.73,10.63,0.45,-67.44,105.19,0,9.04,11.3,0,210.14,0,146.45,34.19,4599.1,34.19,-20.29,8.07,0.98,80.61,4.97
(주)더블유아이,73570,17-Dec,20.01,-89.82,-24.48,0,-41.57,-71.84,10.88,-4.07,4.69,-75.45,-16.4,1.72,-18.8,0.34,7.48,153.36,11.1,-58.13,14.36,838.04,1.66,88.9,29.57,222.06,497.98,222.06,18.85,130.59,0.71,0,-30.48
(주)덕신하우징,90410,17-Dec,67.14,6.92,-4.15,0,0.96,2.72,24.99,9.91,0.54,59.91,1.13,31.42,25.62,1.16,-6.39,3.5,15.59,14.93,3.86,7.52,2.61,84.41,71.05,123.99,1556.02,86.55,9.42,7.15,2.49,0,8
(주)데이타솔루션,263800,17-Dec,108.72,0.98,56.59,-71.01,-0.48,-1.32,13.49,2.37,0.19,1800.07,-0.7,13.16,27.18,1.77,74.22,-10.69,15.14,3.77,7.08,10.45,122.61,84.86,112.01,158.77,381.1,122.96,30.14,34.94,3.29,-85.85,1.74
(주)데코앤이,17680,17-Dec,91.32,-45.45,5.67,0,-7.06,-12.16,20.19,-12.04,0.66,-624.98,-5.9,1.17,-17.86,0.86,-15.27,-15.44,47.23,-67.27,9.67,2.83,24.22,52.77,94.34,117.38,62.8,64.33,8.17,34.02,2.05,0,-39.04
(주)덱스터스튜디오,206560,17-Dec,89.47,-134.92,4.49,-753.21,-21.4,-11.14,27.1,-8.98,2.47,-239.28,-6.05,2.3,-20.19,0.29,-23.26,-20.28,-40.54,-57.46,1.57,0,3.46,140.54,119.02,121.02,365.16,121.02,8.59,41.61,0.9,-1008.44,-39.02
(주)덴티스,261200,17-Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)동구바이오제약,6620,17-Dec,91.61,10.82,15.74,0.28,10.92,29.19,19.88,23.2,0.61,92.56,14.61,27.99,34.53,1.44,38.32,15.75,60.2,36.61,5.54,8.87,3.5,39.8,100.27,128.74,990.31,93.61,13.15,28.66,2.49,26.14,15.53
(주)동국알앤에스,75970,17-Dec,47.57,2.72,1.15,39.53,3.28,6.24,17.77,4.25,0.77,34.77,2.47,5.17,12.55,0.76,3.21,0.7,17.61,3.49,3.57,3.81,2.07,82.39,65.32,172.07,395.03,92.47,20.73,18.87,1.92,4.92,2.06
(주)동국에스엔씨,100130,17-Dec,45.89,1.68,0.91,-54.85,10.8,25.93,11.16,6.91,-0.05,28.94,9.06,12.88,9.36,0.84,6.74,-4.16,9.69,2.74,8.47,4.63,2.52,90.31,53.72,181.38,930.22,126.6,24.29,32.61,2.45,-56.05,1.41
(주)동방선기,99410,17-Dec,7.11,-19.09,-16.56,0,7.64,31.95,0,999999999,-0.51,34.78,4.21,2.85,19.27,0.5,28.62,-33.93,6.44,-10.85,2.71,7.78,0.98,93.56,15.17,705.88,449.65,606.15,37.43,308.18,4.22,0,-9.56
(주)동성화인텍,33500,17-Dec,103.83,-13.94,-20.02,-417.12,6.96,11.49,46.7,-8.98,0.93,6.49,7.18,16.71,3.38,0.92,-33.17,-31.05,-1.14,-30.05,5.12,5.2,1.91,101.14,166.21,112.83,624.61,79.56,5,16.35,1.53,-288.85,-12.78
(주)동아엘텍,88130,17-Dec,24.53,6.01,22.49,-53.01,5.01,23.69,0.93,97.43,-0.02,102.38,5.09,44.93,19.72,1.12,22.83,15.89,23.09,8.88,6.96,68.4,5.78,76.91,27.35,390.2,2664.34,381.06,55.9,203.66,3.87,-18.17,6.71
(주)동양에스텍,60380,17-Dec,93.82,1.75,3.93,-27.46,-1.8,-4.75,41.72,1.37,0.75,43.44,-2.68,37.25,12.69,1.52,18.37,22.55,6.48,6.16,4.63,10.49,4.98,93.52,129.86,130.62,1049.34,88.84,12.5,6.28,2.68,-26.47,2.66
(주)동우팜투테이블,88910,17-Dec,14.09,7.58,15.48,35.2,7.59,60.17,2.81,220.07,-0.3,226.69,8.74,18.92,22.75,1.23,19.28,-2.08,13.73,11.1,13.08,73.66,11.28,86.27,16.99,486.23,1326.9,475.2,46.52,64.58,7.85,73.48,9.36
