회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),정상영업이익증가율(IFRS연결),총자본순이익률(IFRS연결)
(주)금빛,45890,19-Dec,217.13,-62.78,0.23,0,-13.46,-10.99,41.14,-4.07,3.64,-27.96,-7.68,3.62,-15.16,0.57,-16.21,10.33,15.07,-91.08,6.21,4.18,1.05,84.93,231.46,55.42,162.26,37.32,-29.2,6.13,0.94,0,-35.84
(주)금화피에스시,36190,19-Dec,16.18,13.22,7.3,-30.25,10.81,53.54,1.73,280.27,-1.26,548.61,8.04,69.81,46.68,0.77,3.37,-10.24,20.84,12.04,8.7,177.69,8.46,79.16,17.66,474.92,7980.32,471.78,51.57,82.88,4.98,-17.05,10.17
(주)기가레인,49080,19-Dec,222.15,-63.3,-34.23,0,-1.24,-1,53.85,-8.09,3.02,-36.07,-0.76,2.84,-14.25,0.49,-38.15,-41.68,-17.43,-95.33,2.39,2.65,1.39,117.43,319.74,96.45,105.25,68.18,-1.88,9.39,0.73,0,-31.03
(주)기산텔레콤,35460,19-Dec,65.57,5.22,18.88,0,2.7,5.64,25.79,6.63,0.64,153.45,2.71,9.2,21.13,1.09,5.41,18.8,21.45,10.87,5.41,3.39,12.03,78.55,92.53,215.66,439.5,127.08,39.39,63.11,2.37,0,5.69
(주)까스텔바작,308100,19-Dec,12.95,8.44,12.29,-38.74,7.83,51.68,1.19,214.89,-0.04,631.35,7.16,25.83,17.97,0.97,5.29,-11.9,61.6,9.85,15.99,2.26,34.4,38.4,16.08,666.58,2324.74,292.61,63.22,152.27,5.65,-38.12,8.16
(주)나노,187790,19-Dec,69.57,-0.41,7.28,0,5.06,6.89,31.17,-0.54,1.93,44.92,3.21,5.94,15.41,0.66,-3.85,-10.07,9.78,0.95,6.09,3.28,1.5,90.22,87.26,113.91,390.8,63.88,5.17,20.69,1.43,-139.66,-0.27
(주)나노브릭,286750,19-Dec,61.67,-10.04,35.73,0,-11.66,-8.72,27.14,-3.38,4.23,26.87,-3.69,1.96,13.22,0.36,144.14,8.2,24.44,-9.96,4,4.43,0.62,75.56,73.51,134.24,310.3,112.22,12.17,10.38,0.58,0,-3.66
(주)나노신소재,121600,19-Dec,5.68,11.87,3.47,-24.38,16.21,97.77,1.42,42.91,-0.34,124.02,7.78,9.01,22.56,0.49,5.26,-6.42,39.51,6.35,4.73,1.26,2.37,60.49,8.64,1398.81,1729.07,690.04,67.9,236.63,5.51,-41.21,5.79
(주)나노엔텍,39860,19-Dec,7.85,21.9,10.62,73.81,10.65,49.8,0.74,133.96,-0.27,109.32,5.99,1.99,29.61,0.59,16.74,1.78,48.4,15.1,2.76,4,2.01,51.6,13.68,845.77,309.25,632.67,51.51,303.64,4.16,7.97,12.95
(주)나무가,190510,19-Dec,318.93,-0.16,63.78,-109.28,5.02,12.09,25.8,1.15,0.52,72.28,9.34,189.19,20.7,2.31,70.02,15.74,5.62,-0.94,12.72,14.35,5.74,94.38,339.4,80.42,2311.88,51.97,-14.21,5.68,3.1,43.55,-0.37
(주)나스미디어,89600,19-Dec,123.73,19.22,17.53,9.01,22.99,13.25,2.58,35.89,-0.42,807.95,7.55,25.67,25.32,0.35,22.12,9.76,0,15.07,3.77,0,10.12,0,132.63,147.79,3105.08,147.79,25.42,15.24,0.64,22.5,6.82
(주)나이벡,138610,19-Dec,15.9,-29.36,60.12,0,-17.09,-19.05,11.3,-2.23,3.01,23.24,-4.44,2.28,6.8,0.32,222.8,78.34,42.83,-14.36,4.16,3.1,0.88,57.17,30.4,391.85,553.45,312.53,35.59,103.38,0.93,0,-9.39
(주)나이스디앤비,130580,19-Dec,28.14,14.59,38.85,13.61,16.06,66.84,3.83,323.47,-1.06,970.44,15.79,10.04,62.42,1.14,46.91,48.6,0,21.19,9.93,54228.91,25.07,0,30.93,317.03,708.04,317.02,46.64,87.44,5.15,22.78,16.67
(주)나인테크,267320,19-Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)내츄럴엔도텍,168330,19-Dec,11.81,-243.27,-20.24,0,-106.98,-24.87,52.87,-4.35,10.11,-22.98,-14.43,0.64,-14.25,0.12,-34.67,-26.3,-51.29,-49.68,7.63,1.67,0.21,151.29,138.17,654.86,201.99,551.15,27.51,74.91,0.25,0,-29.12
(주)네오리진,94860,19-Dec,13.54,-24.19,-4.25,0,7.38,25.6,6.84,3.22,0.2,326.31,5.91,2.29,17.68,0.78,29.25,24.33,41.8,-24.12,4.12,12.74,17.19,58.2,30.03,542.67,213.62,502.04,46.1,300.57,3.66,0,-18.96
(주)네오셈,253590,19-Dec,35.94,-5.76,0,0,-17.93,-18.3,31.61,-7.64,0.44,64.86,-7.61,7.25,12.48,0.42,0,0,48.73,-4.19,3.29,5.58,2.2,51.27,71.15,286.04,998.88,249.85,39.07,175.37,1.02,0,-2.45
(주)네오오토,212560,19-Dec,43.29,2.11,-1.01,-56.92,14.98,28.75,28.41,0.84,0.65,26.61,12.58,30.08,17.3,0.84,8.09,2.77,7.7,3.18,8.4,14.89,1.2,92.3,77.75,115.42,2015.46,92.74,3.75,39.36,1.87,-67.18,1.76
(주)네오위즈,95660,19-Dec,13.66,10.85,8.53,-24.52,14.86,54.7,1.22,296.81,-0.27,150.07,9.5,23.23,28.9,0.67,23.49,18.1,55.09,7.78,10.02,13439.69,3.98,44.91,21.02,425.94,2948.12,425.89,36.79,191.27,3.72,44.39,7.22
(주)네오위즈홀딩스,42420,19-Dec,8.27,16.09,5.34,5.17,14.42,50.25,0.78,268.11,-0.49,163.06,5.89,54.57,20.79,0.42,4.87,11.22,55.02,6.57,20.36,3595.39,3.8,44.98,13.27,686.49,6957.61,686.34,42.8,209.2,3.45,39.16,6.74
(주)네오크레마,311390,19-Dec,6.97,5.19,0,0,-5.11,-10.82,13.17,3.38,0.94,26.07,-2.14,5.45,11.96,0.42,0,0,23.03,2.72,5.36,2.75,0.91,76.97,24.68,900.67,1039.33,627.95,44.75,241.57,2.12,0,2.17
(주)네오티스,85910,19-Dec,78.64,3.43,0.31,-55.48,9.93,9.74,34.46,4.37,1.64,64.36,4.84,7.7,23.5,0.49,-1.07,-6.16,21,3.13,3.05,7.37,1.4,79,98.96,107.74,776.02,92.4,3.06,33.56,0.99,-28.46,1.68
(주)네오팜,92730,19-Dec,12.14,23.12,68.3,25.22,21.27,103.83,3.79,1337.32,-2.02,341.72,14.42,21.25,28.51,0.85,72.52,25.6,72.21,23.33,9.44,13.12,8.05,27.79,16.13,792.45,2575.56,746.93,72.39,42.98,5.42,19.82,19.67
(주)네오펙트,290660,19-Dec,215.18,-128.95,30.89,0,-89.77,-32.07,43.87,-15.37,3.04,-12.97,-23.51,2.07,-3.55,0.3,-32.45,117.78,26.21,-77.93,3.04,4.97,1.37,73.79,274.49,73.27,208.05,63.12,-15.36,10.98,0.58,0,-38.28
(주)네온테크,306620,19-Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)네이블커뮤니케이션즈,153460,19-Dec,8.1,-3.02,-7.45,0,-11.62,-73.37,0.03,-454.29,-1.91,148.23,-5.54,3.79,35.65,0.46,-7.81,-21.93,54.8,-1.54,8.79,35.41,1.93,45.2,8.16,959.85,734.8,955.93,64.37,448.85,4.39,0,-1.38
(주)네이처셀,7390,19-Dec,10.8,3.91,76.09,-59.64,8.79,18.08,6,8.3,0.26,76.48,2.18,0.81,8.02,0.32,152.51,-13.64,55.92,1.44,9.3,7.28,2.27,44.08,13.7,632.29,267.65,596.79,50.54,240.15,2.2,43.46,1.24
(주)네패스,33640,19-Dec,72.99,8.73,84.99,26.97,18.47,19.88,42.91,11.65,1.06,56.36,12.62,30.7,27.14,0.89,101.61,30.37,31.92,17.12,9.45,31.41,1.69,68.08,173.63,139.07,1810.02,128.17,10.42,81.48,1.51,179.59,7.74
(주)넥스턴바이오사이언스,89140,19-Dec,4.4,17.75,-7.36,3.76,19.05,123.35,0.03,2394.07,-2.6,66.5,5.88,5.48,10.26,0.3,-24.89,21.75,23.4,5.89,4.79,2.41,2.55,76.6,5,1694.28,1690.94,1507.82,66.79,1230.9,2.82,-26.95,5.27
(주)넥스트아이,137940,19-Dec,53.95,-3.45,-1.7,0,-3.04,-4.26,25.69,3.95,0.19,81.46,-1.53,11.1,7.93,0.5,-1.59,0.88,27.2,-7.29,5.44,15.71,4.59,72.8,56.05,200.4,999.79,194.4,34.71,92.71,1.45,-55.97,-1.72
(주)넥스트엔터테인먼트월드,160550,19-Dec,136.65,-7.43,22.15,0,-2.19,-1.7,32.64,-3.05,1.15,20,-1.04,10.69,4.6,0.52,20.7,-7.47,18.97,-7.52,5.7,418.52,2.25,81.03,157.11,97.68,795.8,97.37,-1.23,38.06,0.94,0,-3.89
(주)넥슨게임즈,225570,19-Dec,29.4,-59.91,147.98,0,-38.36,-31.42,18.45,-30.19,0.53,171.41,-14.99,2.16,35.41,0.56,142.11,20.84,0,-60.09,4.55,0,3.38,0,91.2,478.25,264.58,478.25,58.17,79.68,1.25,0,-33.36
(주)넵튠,217270,19-Dec,60.57,-115.26,-10.76,0,-53.58,-18.01,30.68,-24.07,0.6,-3160.01,-8.35,1.61,-18.32,0.15,-10.05,-0.75,0,-25.05,8.77,24039.63,24.21,0,86.55,33.89,588.96,33.89,-21.46,21.94,0.32,0,-16.95
(주)노랑풍선,104620,19-Dec,102.96,-2.16,16.78,-136.91,5.47,7.15,13.24,-4.42,-0.22,77.82,3.66,35.04,24.91,0.72,29.21,-17.24,0,-3.44,5.44,140,2.11,0,104.55,112.79,2359,110.89,6.44,30.64,1.31,-158.07,-1.55
(주)노바렉스,194700,19-Dec,42.3,9.12,45.19,55,1.93,4.92,14.06,389.16,-0.11,95.84,1.99,35.34,29.23,1.22,25.05,48.26,17.99,17.23,8.36,8.2,3.55,82.01,68.02,205.85,2038.95,140.03,26.65,75.97,3.55,43.86,11.13
(주)노바텍,285490,19-Dec,8.9,21.02,20.19,-28.73,22.14,87.75,0.44,665.98,-0.44,166.75,14.48,10.84,28.23,0.71,-12.89,0.97,42.19,16.42,10.73,12.08,7.2,57.81,19.77,815.28,1134.98,721.19,53.18,213.19,6,-17.19,15.01
(주)노블엠앤비,106520,19-Dec,98.88,-18.56,-3.49,0,-4.52,-5.96,30.04,-0.29,5.88,38.02,-3.2,2.12,11.65,0.7,1.61,17.08,14.69,-25.97,10.26,6.67,2.21,85.31,115.83,48.84,104.72,21.2,-23.44,4.51,1.16,0,-12.91
(주)노터스,278650,19-Dec,28.1,9.89,40.67,18.03,9.38,23.32,13.36,10.34,1.16,60.54,7.01,68.3,22.77,0.87,79.82,23.64,0,13.42,11.22,43.3,2.22,0,43.02,241.76,5721.41,232.68,27.85,43.03,2.26,12.48,8.65
(주)녹십자셀,31390,19-Dec,57.5,29.17,22.61,-20.96,14.25,7.87,38.5,4.05,2.27,60.06,3.51,6.33,17.23,0.27,10.25,28.02,57.46,14.52,5.97,15.19,0.54,42.54,80.65,93.13,1397.29,87.28,-2.19,4.14,0.6,50.81,7.92
(주)녹십자엠에스,142280,19-Dec,61.42,-17.38,38.91,0,-2.46,-6.07,14.25,-5.1,0.76,-35.85,-2.6,12.27,-1.91,1.23,12.98,8.99,10.07,-49.93,4.02,7.97,3.98,89.93,75.04,162.54,469.54,125.42,21.95,27.83,2.21,0,-21.4
(주)녹십자웰빙,234690,19-Dec,17.83,8.51,173.82,0.38,8.11,23.06,7.43,116.86,0,478.57,5.09,8.66,22.31,0.92,246.95,24.23,53.89,10.18,5.71,6.45,11,46.11,28.31,541.7,936.99,466.25,61.39,82.32,3.98,-9.33,7.82
(주)녹원씨엔아이,65560,19-Dec,43.57,-14.7,-16.91,-247.56,10.66,18.79,25.9,2.87,4.15,46.42,6.39,8.15,7.05,0.54,-41.17,-18.44,31.22,-12.6,6,8.61,3.38,68.78,51.49,128.75,873.51,104.09,8.27,20.12,1.49,-47.59,-7.99
(주)누리플랜,69140,19-Dec,264.44,-3.55,147.32,-767.57,-2.38,-2.41,49.45,-0.94,2.31,36.27,-1.85,35.73,16.2,1.11,149.82,91.51,18.11,-15.42,5.52,9.16,2.58,81.89,329.58,75.32,862.54,50.71,-15.19,3.59,1.58,0,-3.93
(주)누리플렉스,40160,19-Dec,82.44,5.99,-0.01,-24.46,8.82,21.67,24.62,8.52,0.68,115.09,10.15,24.54,26.02,1.15,1.41,-22.29,28.5,13.73,5.69,5.87,5.21,71.5,88.16,138.32,1133.23,100.36,16.79,34.52,2.31,-33,6.89
(주)누보,332290,19-Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)뉴로스,126870,19-Dec,152.27,-42.37,7.79,0,-4.37,-2.46,50.44,-2.37,2.03,-27.71,-1.54,5.64,-6,0.37,26.22,15.59,23.51,-41.14,1.74,2.34,1.5,76.49,169.09,119.33,549.61,94.01,10.94,40.35,0.58,-644.88,-15.52
(주)뉴보텍,60260,19-Dec,53.29,4.32,52.56,0,4.24,9.53,16.82,4.51,0.41,67.9,3.83,2.77,21.53,1.09,7.44,4.49,28.52,7.78,4.63,11.7,3.58,71.48,67.34,152.44,165.27,125.92,16.7,23.92,2.77,414.85,4.71
(주)뉴인텍,12340,19-Dec,65.11,-2.02,17.22,0,1.64,3.92,20.9,0.34,1.39,62.69,1.79,2.59,25.76,1.18,31.22,8.67,11.28,-5.33,6.15,6.62,2.65,88.72,84.29,148.97,179.8,103.41,17.3,41.32,2.14,0,-2.39
(주)뉴트리,270870,19-Dec,29.95,7.57,31.59,338.22,6.15,40.33,2.22,771.28,-0.46,962.17,9.93,27.66,30.44,1.83,31.69,43.49,77.18,17.94,19.26,16.87,34.46,22.82,32.65,373.46,1267.23,321.68,61.75,201.97,8.62,20.8,13.88
(주)뉴파워프라즈마,144960,19-Dec,9.44,8.8,4.56,-58.69,9.34,37.6,2.92,33.39,-1.23,64.04,3.74,14.59,16.91,0.41,-13.27,-18.04,46.29,4.15,6.08,7.27,1.37,53.71,11.06,483.87,3269.19,408.78,32.62,43.63,4.19,-69.06,3.61
(주)뉴프렉스,85670,19-Dec,128.62,-7.51,-5.22,-233.01,9.57,13.98,44.46,-3.81,1.6,29,8.93,12.12,16.53,0.91,-23.93,-34.4,2.64,-17.75,6.52,6.1,1.61,97.36,176.65,74.46,460.12,44.5,-11.87,10.99,1.49,-194.37,-6.82
(주)다나와,119860,19-Dec,37.27,11.63,42.21,43.74,15.72,71.62,2.62,161.11,-0.67,374,20.68,31.02,29.88,1.54,63.6,67.09,0,23.63,19.5,28.93,18.51,0,40.59,290.78,1677.35,267.39,50.57,107.01,6.44,41.42,17.96
(주)다날,64260,19-Dec,71.83,11.92,12.16,739.01,-10.99,-6.73,42.54,1.85,2.16,580.73,-4.1,6.58,10.19,0.39,11.43,-8.91,0,13.96,6.23,163.51,21.41,0,156.3,293.71,633.56,292.74,54.29,31.72,0.63,23.74,4.71
(주)다보링크,340360,19-Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)다산네트웍스,39560,19-Dec,61.87,-2.14,23.9,0,-3.76,-7.59,22.78,-0.03,1.04,161.12,-3.7,26.99,21.38,1.09,18.61,25.12,33.51,1.1,3.8,9.73,8.59,66.49,95.24,204.85,929.2,173.22,33.23,31.09,2.13,-101.9,-2.33
(주)다우데이타,32190,19-Dec,481.58,12.53,27.54,106.43,-66.41,-9.65,39.09,62.94,0.18,234.53,-8.59,170.34,3.39,0.15,26.11,29.17,32.66,13.08,50.68,564.14,9.85,67.34,808.01,155.74,3177.23,155.72,29.56,2.95,0.16,54.57,1.82
(주)다원시스,68240,19-Dec,116.5,2.43,49.92,-46.62,44.98,24.23,23.76,1.89,1.85,50.35,14.7,13.21,8.7,0.39,71.93,35.98,21.86,2.09,2.84,3.53,1.36,78.14,154.23,113.43,1565,95.23,6.16,49,0.73,-5.02,0.95
(주)대동스틸,48470,19-Dec,19.75,0.28,6.35,567.55,1.94,12.75,5.16,-16.84,-0.48,38.35,2.8,22.66,5.25,1.49,9.62,11.57,3.77,0.51,5.17,6.69,10.35,96.23,28.15,481.67,1222.27,323.56,58.83,81.16,7.77,0,0.41
(주)대륙제관,4780,19-Dec,34.06,2.72,4.3,47.75,6.26,24.39,9.97,19.49,0.1,82.16,7.84,24.81,26.6,1.28,7.68,0.48,11.47,5.1,5.51,7.19,3.64,88.53,47.39,248.51,1343.79,177.27,34.32,67.46,4.03,48.65,3.48
(주)대림제지,17650,19-Dec,22.85,2.37,1.69,-71.45,13.81,19.27,21.57,4.6,1.12,15.22,6.38,23.53,9.52,0.47,49.72,18.23,14.53,1.68,6.99,24.63,0.73,85.47,49.48,122.71,3409.67,111.72,3.47,36.66,1.35,-31.59,1.1
(주)대명소노시즌,7720,19-Dec,44.48,28.96,-40.89,0,11.31,31.69,13.78,1.72,-0.21,1029.28,10.15,4.34,10.4,0.67,49.97,-22.21,17.42,47.51,10.18,6.38,1.67,82.58,47.11,275.24,328.67,257.53,52.98,211.76,1.21,-57.31,19.3
(주)대성미생물연구소,36480,19-Dec,10.86,9.83,33.94,-22.05,10.85,16.71,23.21,228.76,-0.85,91.07,5.34,13.23,21.75,0.56,8.87,0.15,33.59,7.3,7.55,2.92,1.43,66.41,46.99,664.31,1827.13,418.48,41.68,218.93,2.35,-0.85,5.55
(주)대성엘텍,25440,19-Dec,152.06,-2.64,0.65,0,1.01,5.26,36.88,-4.24,0.41,58.13,3.45,7.57,25.11,3.43,-4.79,8.43,1.9,-24.15,18.42,16.7,8.31,98.1,190.42,89.45,77.32,48.88,-5.52,4.36,5.42,0,-9.03
(주)대성파인텍,104040,19-Dec,39.91,3.52,-0.44,-59,5.35,5.17,33.86,0.32,1.84,21.69,2.18,11.97,11.68,0.41,-11.32,-2.91,12.65,2.33,3.73,5.47,0.7,87.35,72.92,127.49,1692.73,98.72,6.35,50.19,0.94,-58.85,1.43
(주)대원,7680,19-Dec,44.51,3.73,16.68,-69,-13.83,-15.73,20.38,4.63,-0.8,59.42,-6.63,44.94,7.28,0.52,-0.42,-25.36,13.95,3.38,82.64,5.94,6.02,86.05,72.8,258.09,5052.13,238.85,40.72,47.96,1.32,-56.4,1.92
(주)대유,290380,19-Dec,4.76,16.55,6.51,-18.9,17.37,56.91,0.8,303.7,-2.22,138.65,7.13,6.56,21,0.42,1.29,3.24,62.32,7.91,15.64,3.94,2.43,37.68,14.31,1820.34,1398.34,1571.07,71.64,228.11,3.68,-24.27,7
(주)대유에이피,290120,19-Dec,148.49,5.07,0,0,-3.04,-5.97,26.61,10.99,0.35,98.66,-3.73,28.93,22.69,1.23,0,0,12.4,17.09,6.15,12.28,5.11,87.6,167.21,99.32,857.68,81.33,-0.38,10.9,1.96,0,6.22
(주)대창솔루션,96350,19-Dec,110.53,-7.43,3.46,0,-10.77,-7.77,42.37,0.26,4.67,13.89,-4.49,4.85,8.74,0.42,22.04,26.18,11.88,-8.25,4.36,3.81,0.65,88.12,136.62,69.85,412.25,42.74,-14.09,7,0.68,0,-3.15
(주)대창스틸,140520,19-Dec,122.24,0.01,-9.49,0,8.75,13.02,47.35,0.95,2.08,14.65,7.45,19.76,3.68,0.81,-30.33,-13.47,6.32,-0.74,4.39,5.86,2.67,93.68,133.57,68.35,936.92,41.97,-16.56,3.81,1.37,46,0.01
